gene logFC FDR add_variable
SCO0411 0.061127132 0.776940933 delgbn24h
SCO0412 0.020086629 0.938332002 delgbn24h
SCO0413 0.020507406 0.936666025 delgbn24h
SCO0414 0.125388917 0.424164448 delgbn24h
SCO0415 0.014779893 0.944230766 delgbn24h
SCO0416 -0.000525743 0.997628042 delgbn24h
SCO0417 0.055137154 0.799522547 delgbn24h
SCO0418 0.030692168 1 delgbn24h
SCO0419 0.161724103 0.354034914 delgbn24h
SCO0420 -0.048153468 0.805995597 delgbn24h
SCO0421 0.117138162 0.51120045 delgbn24h
SCO0422 0.01191819 0.968540465 delgbn24h
SCO0423 -0.019064796 0.940270025 delgbn24h
SCO0424 0.10908477 0.249810055 delgbn24h
SCO0425 0.052141788 0.804369264 delgbn24h
SCO0426 0.039884714 1 delgbn24h
SCO0427 0.085965187 0.655078474 delgbn24h
SCO0428 -0.000576752 0.9970555 delgbn24h
SCO0429 -0.252360804 0.191362888 delgbn24h
SCO0430 -0.113496512 0.559718338 delgbn24h
SCO0431 -0.349202675 0.100224035 delgbn24h
SCO0432 0.050292256 0.817955953 delgbn24h
SCO0433 0.182100798 0.325766339 delgbn24h
SCO0434 0.128403683 0.467321279 delgbn24h
SCO0435 0.133666055 0.348325619 delgbn24h
SCO0436 -0.036797132 0.645097179 delgbn24h
SCO0437 -0.000564983 0.99025679 delgbn24h
SCO0438 -0.007628395 0.944755243 delgbn24h
SCO0439 0.172865917 0.254403239 delgbn24h
SCO0440 -0.021862207 0.897131617 delgbn24h
SCO0441 -0.017206791 0.955832996 delgbn24h
SCO0442 -0.013496348 0.961314562 delgbn24h
SCO0443 0.108479632 0.573933606 delgbn24h
SCO0444 -0.010204907 0.973727314 delgbn24h
SCO0445 0.015741754 0.948229641 delgbn24h
SCO0446 0.035747988 1 delgbn24h
SCO0447 0.021967512 0.932706263 delgbn24h
SCO0449 0.062328267 0.654591958 delgbn24h
SCO0450 0.579807922 0.063444932 delgbn24h
SCO0451 -0.06767448 0.731931988 delgbn24h
SCO0452 -0.067985722 0.744733646 delgbn24h
SCO0453 0.066872073 0.70686501 delgbn24h
SCO0454 -0.036456526 0.814158646 delgbn24h
SCO0455 -0.110673719 0.423087251 delgbn24h
SCO0456 -0.04633989 0.795931848 delgbn24h
SCO0457 -0.159990198 0.377243117 delgbn24h
SCO0458 -0.070725832 0.683634893 delgbn24h
SCO0459 0.608621422 0.016177961 delgbn24h
SCO0460 0.130635289 0.460942361 delgbn24h
SCO0461 0.003515885 0.99123491 delgbn24h
SCO0462 -0.12647354 0.468642467 delgbn24h
SCO0463 -0.251040875 0.174159806 delgbn24h
SCO0464 -0.04827531 0.831823496 delgbn24h
SCO0465 -0.169880807 0.340838212 delgbn24h
SCO0466 -0.043469786 0.853922611 delgbn24h
SCO0467 -0.007120856 0.983113778 delgbn24h
SCO0468 0.029782624 0.902262464 delgbn24h
SCO0469 0.121614048 0.5171082 delgbn24h
SCO0470 -0.09143129 0.553526001 delgbn24h
SCO0471 0.011480599 0.966556693 delgbn24h
SCO0472 0.048019659 0.750206866 delgbn24h
SCO0473 0.01587985 0.878175959 delgbn24h
SCO0474 0.016171938 0.863162899 delgbn24h
SCO0475 -0.01912848 0.806156478 delgbn24h
SCO0476 0.008231754 0.966556693 delgbn24h
SCO0477 0.000651632 0.9970555 delgbn24h
SCO0478 0.132615884 0.476276204 delgbn24h
SCO0479 0.407076355 0.051569004 delgbn24h
SCO0480 0.002080217 1 delgbn24h
SCO0481 -0.011118701 0.945363799 delgbn24h
SCO0482 0.062589868 0.718860623 delgbn24h
SCO0483 -0.091560403 0.601360372 delgbn24h
SCO0484 0.045367035 0.793513577 delgbn24h
SCO0485 0.019155761 0.946102035 delgbn24h
SCO0486 -0.249829645 0.199041302 delgbn24h
SCO0487 -0.023187472 0.932706263 delgbn24h
SCO0488 0.383036387 0.035930043 delgbn24h
SCO0489 0.350202027 0.0859073 delgbn24h
SCO0490 0.422461649 0.015304781 delgbn24h
SCO0491 0.490594624 0.007541642 delgbn24h
SCO0492 0.487005274 0.011770874 delgbn24h
SCO0493 0.425228116 0.031044569 delgbn24h
SCO0494 0.455676034 0.016557579 delgbn24h
SCO0495 0.212267748 0.139367426 delgbn24h
SCO0496 0.074237894 0.715078293 delgbn24h
SCO0497 0.104729475 0.559634246 delgbn24h
SCO0498 0.121609939 0.472889737 delgbn24h
SCO0499 0.408877892 0.03176928 delgbn24h
SCO0500 0.521293292 0.006806452 delgbn24h
SCO0501 -0.516890454 0.019962564 delgbn24h
SCO0502 0.091761421 0.539693654 delgbn24h
SCO0503 0.003261742 0.991516106 delgbn24h
SCO0504 -0.150884281 0.340838212 delgbn24h
SCO0505 0.022649383 0.927690249 delgbn24h
SCO0506 -0.103555029 0.467321279 delgbn24h
SCO0507 0.091050473 0.648855207 delgbn24h
SCO0508 -0.039454427 0.833315081 delgbn24h
SCO0509 -0.058475429 0.782234155 delgbn24h
SCO0511 -0.08889965 0.662082418 delgbn24h
SCO0512 0.060048363 0.806156478 delgbn24h
SCO0513 -0.172196104 0.176890071 delgbn24h
SCO0514 0.114416849 0.450757676 delgbn24h
SCO0516 -0.051474763 0.81666049 delgbn24h
SCO0517 0.006969739 1 delgbn24h
SCO0518 -0.001610884 1 delgbn24h
SCO0519 -0.038980393 0.803421414 delgbn24h
SCO0520 0.002503761 0.991521715 delgbn24h
SCO0521 -0.061207782 0.754825772 delgbn24h
SCO0522 -0.081863995 0.658573027 delgbn24h
SCO0523 -0.015521656 0.95825615 delgbn24h
SCO0524 0.214523001 0.243435595 delgbn24h
SCO0525 0.042325945 0.788115139 delgbn24h
SCO0526 -0.126265573 0.383152386 delgbn24h
SCO0527 0.147113016 0.290494117 delgbn24h
SCO0528 0.17784665 0.32313712 delgbn24h
SCO0529 0.178355482 0.334110727 delgbn24h
SCO0530 -0.199449797 0.283501933 delgbn24h
SCO0531 -0.031702928 0.822302207 delgbn24h
SCO0532 -0.063385972 0.624880401 delgbn24h
SCO0533 0.145372076 0.272220829 delgbn24h
SCO0534 0.070477693 0.716932382 delgbn24h
SCO0535 -0.02495356 0.917235095 delgbn24h
SCO0536 0.097428042 0.627591207 delgbn24h
SCO0537 0.143087907 0.449801731 delgbn24h
SCO0538 0.006835875 0.983021713 delgbn24h
SCO0539 -0.010327096 0.968486363 delgbn24h
SCO0540 -0.001683861 0.992579644 delgbn24h
SCO0541 0.075040901 0.708171579 delgbn24h
SCO0542 -0.195900927 0.302811701 delgbn24h
SCO0543 -0.330296493 0.126813873 delgbn24h
SCO0544 -0.66418254 0.006519519 delgbn24h
SCO0545 -0.028269187 0.914751651 delgbn24h
SCO0546 -0.02560224 0.903578452 delgbn24h
SCO0547 -0.002179646 0.991270352 delgbn24h
SCO0548 -0.506254323 0.055362478 delgbn24h
SCO0549 -0.00580158 0.979550948 delgbn24h
SCO0550 -0.028472838 0.908247525 delgbn24h
SCO0551 -0.021985024 0.935663937 delgbn24h
SCO0552 -0.047930657 0.831862072 delgbn24h
SCO0553 -0.009364404 0.975295342 delgbn24h
SCO0554 0.232570909 0.237477697 delgbn24h
SCO0555 0.081907893 0.502866661 delgbn24h
SCO0556 -0.006818496 0.983021713 delgbn24h
SCO0557 0.070888007 0.722553889 delgbn24h
SCO0558 -0.017454087 0.947366465 delgbn24h
SCO0559 -0.0637752 0.736577909 delgbn24h
SCO0560 -0.221205734 0.037333841 delgbn24h
SCO0561 0.002879494 0.991560621 delgbn24h
SCO0562 -0.011533916 0.968486363 delgbn24h
SCO0563 0.24263996 0.062173929 delgbn24h
SCO0564 -0.006174684 0.979550948 delgbn24h
SCO0565 0.059353976 0.651388427 delgbn24h
SCO0566 0.004355869 0.983021713 delgbn24h
SCO0567 -0.041873302 0.857350648 delgbn24h
SCO0568 0.108909566 0.552659713 delgbn24h
SCO0569 -0.067872462 0.722553889 delgbn24h
SCO0570 -0.19413122 0.300390393 delgbn24h
SCO0571 0.011240583 0.968573947 delgbn24h
SCO0572 0.030081903 0.900003497 delgbn24h
SCO0573 -0.018155229 0.935170535 delgbn24h
SCO0574 -0.095543482 0.626809703 delgbn24h
SCO0575 -0.051873468 0.815360879 delgbn24h
SCO0576 -0.517715548 0.025949088 delgbn24h
SCO0577 0.050049099 0.783683042 delgbn24h
SCO0578 -0.050529385 0.769509496 delgbn24h
SCO0579 -0.084418759 0.560680467 delgbn24h
SCO0580 -0.191018743 0.28959711 delgbn24h
SCO0581 0.35877265 0.099457212 delgbn24h
SCO0582 -0.0914875 0.630187568 delgbn24h
