gene	logFC	FDR	add_variable
vnz_15190	-6.58278913820924	8.77448857217167e-09	wt13-wt20
vnz_18575	-4.52534731121239	8.91117533794492e-09	wt13-wt20
vnz_35480	-4.2977674810934	8.98262224040571e-09	wt13-wt20
vnz_35905	-3.60007667808816	9.22764810279467e-09	wt13-wt20
vnz_13235	3.33899642557988	9.22764810279467e-09	wt13-wt20
vnz_00820	3.64651972115282	9.6878040802968e-09	wt13-wt20
vnz_34845	-3.91375686492957	9.88390092772814e-09	wt13-wt20
vnz_06740	-3.13638729894831	9.88390092772814e-09	wt13-wt20
vnz_28885	5.86786533172739	9.97680552854393e-09	wt13-wt20
vnz_05070	-3.8128830944429	1.00964171449769e-08	wt13-wt20
vnz_00460	4.59754806592675	1.06535913404892e-08	wt13-wt20
vnz_04990	-3.95860576235305	1.06535913404892e-08	wt13-wt20
vnz_19485	-4.19676327383133	1.07807309235404e-08	wt13-wt20
vnz_16325	3.04807996489374	1.09327954984562e-08	wt13-wt20
vnz_26265	3.08697091387857	1.11823726734015e-08	wt13-wt20
vnz_19405	3.25454294027546	1.13674567046062e-08	wt13-wt20
vnz_29860	-4.15676066073775	1.1589036628083e-08	wt13-wt20
vnz_30460	-6.97818648244787	1.1863615824604e-08	wt13-wt20
vnz_10830	2.7330852188779	1.19005645063387e-08	wt13-wt20
vnz_22895	-5.7251889400166	1.21517575403514e-08	wt13-wt20
vnz_16235	-2.87007370671393	1.21753537339947e-08	wt13-wt20
vnz_04170	-4.42016735916181	1.21753537339947e-08	wt13-wt20
vnz_31040	-3.68164179857439	1.21753537339947e-08	wt13-wt20
vnz_10050	-4.27420497301285	1.23038869337109e-08	wt13-wt20
vnz_01490	-3.5147639727401	1.230566799614e-08	wt13-wt20
vnz_04480	-3.64415222368075	1.24546062528684e-08	wt13-wt20
vnz_25190	-4.45634915398064	1.2764477924343e-08	wt13-wt20
vnz_08955	2.88852388459504	1.32821476817591e-08	wt13-wt20
vnz_01215	-5.16189704123072	1.32821476817591e-08	wt13-wt20
vnz_30455	-6.88149758896438	1.33914592558584e-08	wt13-wt20
vnz_21185	3.64393553240494	1.45415104820956e-08	wt13-wt20
vnz_14890	-3.1247401503913	1.50362576490793e-08	wt13-wt20
vnz_02910	2.94160806331727	1.53400344202556e-08	wt13-wt20
vnz_00775	4.75536180159966	1.59871910519679e-08	wt13-wt20
vnz_18705	3.03920156763705	1.59871910519679e-08	wt13-wt20
vnz_14350	3.76614488575038	1.65412021229604e-08	wt13-wt20
vnz_26135	-3.65912874540629	1.66409338844572e-08	wt13-wt20
vnz_21070	-6.26411192943289	1.7449171838737e-08	wt13-wt20
vnz_16590	3.33208593121186	1.76494057802442e-08	wt13-wt20
vnz_30380	-5.65655135436138	1.76494057802442e-08	wt13-wt20
vnz_19620	-3.00965300457356	1.76494057802442e-08	wt13-wt20
vnz_17800	3.58741730079878	1.84535420944871e-08	wt13-wt20
vnz_36565	-4.04680882192568	1.85797150342252e-08	wt13-wt20
vnz_31780	3.13922283747633	1.87921978732431e-08	wt13-wt20
vnz_21060	-6.45280818787783	1.87921978732431e-08	wt13-wt20
vnz_02845	-4.36392940201289	1.92065089845812e-08	wt13-wt20
vnz_33505	-7.19721239826875	2.07471032129469e-08	wt13-wt20
vnz_34315	-4.30672056843235	2.12285456253101e-08	wt13-wt20
vnz_20980	2.8503007563711	2.15895317176466e-08	wt13-wt20
vnz_11120	-3.90599439242729	2.15895317176466e-08	wt13-wt20
vnz_02495	-3.9927199487206	2.17110858764335e-08	wt13-wt20
vnz_22045	2.47839577031103	2.19277337271889e-08	wt13-wt20
vnz_30445	-7.19974830914708	2.20440059798034e-08	wt13-wt20
vnz_22980	-5.63555898160046	2.20735307795231e-08	wt13-wt20
vnz_35705	-3.92358801800627	2.23790839950761e-08	wt13-wt20
vnz_33770	-4.87347049607529	2.29226192828398e-08	wt13-wt20
vnz_22320	-3.94452158311668	2.29226192828398e-08	wt13-wt20
vnz_00790	6.29578706652387	2.31056547232427e-08	wt13-wt20
vnz_14950	-5.23815732455614	2.31056547232427e-08	wt13-wt20
vnz_31775	3.0186133900633	2.32174585909988e-08	wt13-wt20
vnz_14965	-4.7801141597401	2.32971469359028e-08	wt13-wt20
vnz_35835	-3.5381849764298	2.33997714019736e-08	wt13-wt20
vnz_07490	-2.97947768679347	2.42945697216521e-08	wt13-wt20
vnz_23695	2.83156474887508	2.49215954411169e-08	wt13-wt20
vnz_27065	-3.81886971956903	2.49734340952036e-08	wt13-wt20
vnz_16915	-5.62268564907701	2.53042561026842e-08	wt13-wt20
vnz_09605	-4.13753644507174	2.55329017891343e-08	wt13-wt20
vnz_01570	-7.51744430719563	2.59891573504386e-08	wt13-wt20
vnz_02010	-4.79749034100378	2.61653668066032e-08	wt13-wt20
vnz_19450	3.03966790353563	2.61707682994247e-08	wt13-wt20
vnz_23650	-5.39494433475229	2.6226254825771e-08	wt13-wt20
vnz_10985	-4.91952062630792	2.74358560535972e-08	wt13-wt20
vnz_30765	-4.74810565367053	2.79690352314416e-08	wt13-wt20
vnz_13730	-3.52688769556673	2.8122670693172e-08	wt13-wt20
vnz_00285	-3.57703991534313	2.8759505130931e-08	wt13-wt20
vnz_02050	-3.2108038455266	2.91506114078152e-08	wt13-wt20
vnz_16975	3.92706196690627	3.04490182457575e-08	wt13-wt20
vnz_13155	-6.67733864020394	3.09879087722901e-08	wt13-wt20
vnz_02615	-3.30399909116397	3.11912134219064e-08	wt13-wt20
vnz_24090	-4.06450121215644	3.14557038207617e-08	wt13-wt20
vnz_25785	-7.65260274824663	3.17864329997751e-08	wt13-wt20
vnz_23450	-2.77641088055297	3.17984353507223e-08	wt13-wt20
vnz_20435	3.06240618897043	3.17984353507223e-08	wt13-wt20
vnz_32500	4.87001078010904	3.32232556022836e-08	wt13-wt20
vnz_36045	-6.26354796409233	3.33660558744953e-08	wt13-wt20
vnz_35940	-4.35616649510829	3.33660558744953e-08	wt13-wt20
vnz_26275	3.67216759405062	3.33660558744953e-08	wt13-wt20
vnz_17505	-3.78404975481423	3.40358032228339e-08	wt13-wt20
vnz_18160	-3.35132204373925	3.4580338912984e-08	wt13-wt20
vnz_30450	-7.3344133629241	3.51115245866186e-08	wt13-wt20
vnz_01010	-4.15060563655504	3.53625752609429e-08	wt13-wt20
vnz_07480	4.24381089737579	3.56213261488669e-08	wt13-wt20
vnz_08975	2.52910346449332	3.56213261488669e-08	wt13-wt20
vnz_20960	4.56211423422622	3.57213344943989e-08	wt13-wt20
vnz_25935	-5.54598239972641	3.61534952302058e-08	wt13-wt20
vnz_02925	5.68945085467966	3.6487734422391e-08	wt13-wt20
vnz_16090	-4.8805214233746	3.79420762709624e-08	wt13-wt20
vnz_31250	-5.35312075541468	3.79420762709624e-08	wt13-wt20
vnz_04420	-3.85030882087688	3.7964571213728e-08	wt13-wt20
vnz_17300	-3.58934138581222	3.93290850108301e-08	wt13-wt20
vnz_23415	3.09292883544789	3.9889823657781e-08	wt13-wt20
vnz_17450	-2.39242537952574	4.04681475620059e-08	wt13-wt20
vnz_14920	-3.62217622887772	4.30382006080438e-08	wt13-wt20
vnz_04450	-5.23195835257243	4.40333363046439e-08	wt13-wt20
vnz_08610	3.62600283878835	4.44372895256981e-08	wt13-wt20
vnz_18750	2.75506692746056	4.45000839451443e-08	wt13-wt20
vnz_11300	-3.35140454322402	4.47697980349876e-08	wt13-wt20
vnz_03060	2.73081492001251	4.63330697326053e-08	wt13-wt20
vnz_28755	-3.80987033429928	4.63625930970363e-08	wt13-wt20
vnz_33720	7.02014924395286	4.66411386801076e-08	wt13-wt20
vnz_12900	-3.72663204985403	4.76172989112823e-08	wt13-wt20
vnz_26625	3.1955675986526	4.78775700971601e-08	wt13-wt20
vnz_24850	2.71870852602692	4.81360527509284e-08	wt13-wt20
vnz_22965	-6.15202468118053	4.86278618719375e-08	wt13-wt20
vnz_34835	-3.10665660498131	5.03338282151566e-08	wt13-wt20
vnz_19970	-3.0518956979833	5.03338282151566e-08	wt13-wt20
vnz_21075	-5.23566251806294	5.03338282151566e-08	wt13-wt20
vnz_36575	-7.79885417334317	5.11169313415349e-08	wt13-wt20
vnz_01525	-4.10625398154256	5.24543318546337e-08	wt13-wt20
vnz_30190	-3.62809415824145	5.29854875042694e-08	wt13-wt20
vnz_33470	-4.45909255213579	5.43034485306133e-08	wt13-wt20
vnz_17480	2.29942070425374	5.50402084700485e-08	wt13-wt20
