gene logFC FDR add_variable
vnz_00345 -0.203096304368139 1 48h
vnz_00350 -0.643855354767991 1 18h
vnz_00350 -0.731014180274421 1 24h
vnz_00350 -0.624333817568117 1 48h
vnz_00355 -0.589187822635938 1 18h
vnz_00355 -0.579242715690095 1 24h
vnz_00355 -0.429376970425791 1 48h
vnz_00360 -0.553279619184437 1 18h
vnz_00360 -0.414725640599374 1 24h
vnz_00360 -0.511802808730332 1 48h
vnz_00365 -0.409494210326536 1 18h
vnz_00365 -0.41067227862662 1 24h
vnz_00365 -0.36387025357717 1 48h
vnz_00370 -0.417890173751414 1 18h
vnz_00370 -0.636400869224961 1 24h
vnz_00370 -0.289074553605962 1 48h
vnz_00375 -0.515329523449352 1 18h
vnz_00375 -0.377524199178664 1 24h
vnz_00375 -0.482216548414537 1 48h
vnz_00380 -0.294446399613359 1 18h
vnz_00380 -0.3367919868389 1 24h
vnz_00380 -0.421647840154997 1 48h
vnz_00385 -0.117481567356069 1 18h
vnz_00385 0.0577640497154263 1 24h
vnz_00385 -0.405521705752023 1 48h
vnz_00390 -0.388682276724357 1 18h
vnz_00390 -0.12614559821986 1 24h
vnz_00390 -0.563049680621092 1 48h
vnz_00395 -0.389166798445794 1 18h
vnz_00395 -0.51257058457782 1 24h
vnz_00395 -0.324840941828803 1 48h
vnz_00400 -0.0948358469706728 1 18h
vnz_00400 -0.27740683013967 1 24h
vnz_00400 -0.122353577194913 1 48h
vnz_00405 -0.476359976699244 1 18h
vnz_00405 -0.668971331008095 1 24h
vnz_00405 -0.35509022292731 1 48h
vnz_00410 -0.415795474465924 1 18h
vnz_00410 -0.780183103765291 1 24h
vnz_00410 -0.398794134222275 1 48h
vnz_00415 -0.49456958462244 1 18h
vnz_00415 -0.704480739146661 1 24h
vnz_00415 -0.450805604427289 1 48h
vnz_00420 -0.424844858364132 1 18h
vnz_00420 -0.673541445183026 1 24h
vnz_00420 -0.34204879256176 1 48h
vnz_00425 -0.558430325138794 1 18h
vnz_00425 -0.822437736081026 1 24h
vnz_00425 -0.25615674965373 1 48h
vnz_00430 -0.546024450492646 1 18h
vnz_00430 -0.894074261797696 0.05 24h
vnz_00430 -0.159181061597909 1 48h
vnz_00435 -0.558887354773703 1 18h
vnz_00435 -1.08202831068502 0.05 24h
vnz_00435 -0.278974397357285 1 48h
vnz_00440 -0.36081711117014 1 18h
vnz_00440 -0.471249482212255 1 24h
vnz_00440 -0.465107561008883 1 48h
vnz_00445 -0.342829990594452 1 18h
vnz_00445 -0.573737982046658 1 24h
vnz_00445 -0.652692840198698 1 48h
vnz_00450 -0.510090574888658 1 18h
vnz_00450 -0.437356411883636 1 24h
vnz_00450 -0.372171832670407 1 48h
vnz_00455 -0.542099732348812 1 18h
vnz_00455 -0.326687962427338 1 24h
vnz_00455 -0.0877205147461972 1 48h
vnz_00460 -0.700379017335993 1 18h
vnz_00460 -0.682648210869042 1 24h
vnz_00460 -0.240011165420612 1 48h
vnz_00465 -0.144299380242561 1 18h
vnz_00465 -0.668361093071492 1 24h
vnz_00465 -0.181614967606298 1 48h
vnz_00470 -0.466731383610197 1 18h
vnz_00470 -0.581109721159859 1 24h
vnz_00470 -0.224258078934972 1 48h
vnz_00475 -0.470791513460821 1 18h
vnz_00475 -0.664426350561816 1 24h
vnz_00475 -0.316709176250824 1 48h
vnz_00480 -0.16270024465861 1 18h
vnz_00480 -0.277596896169528 1 24h
vnz_00480 -0.325760350689031 1 48h
vnz_00485 -0.418867740496265 1 18h
vnz_00485 -0.543662630144923 1 24h
vnz_00485 -0.587526421917734 1 48h
vnz_00490 -0.471984601392712 1 18h
vnz_00490 -0.527275734535325 1 24h
vnz_00490 -0.29918215059933 1 48h
vnz_00495 -0.0311024120952504 1 18h
vnz_00495 -0.598575826889843 1 24h
vnz_00495 -0.370149145374218 1 48h
vnz_00500 -0.529691336051118 1 18h
vnz_00500 -0.878303541623349 0.05 24h
vnz_00500 -0.377853466558594 1 48h
vnz_00505 -0.134759259932385 1 18h
vnz_00505 -1.41132521149194 0.05 24h
vnz_00505 0.277696621366868 1 48h
vnz_00510 -0.526935739126398 1 18h
vnz_00510 -0.868760096237407 0.05 24h
vnz_00510 -0.254304266155022 1 48h
vnz_00515 -0.424039871694497 1 18h
vnz_00515 -0.599952454184056 1 24h
vnz_00515 -0.473380401613354 1 48h
vnz_00520 -0.386829572162604 1 18h
vnz_00520 -0.563707596058361 1 24h
vnz_00520 -0.633519510085868 1 48h
vnz_00525 -1.1145365936442 0.05 18h
vnz_00525 -0.673528000813594 1 24h
vnz_00525 -0.372257104209698 1 48h
vnz_00530 -0.183266364746191 1 18h
vnz_00530 -0.164854035519228 1 24h
vnz_00530 -0.301627327501319 1 48h
vnz_00535 -0.240501389083192 1 18h
vnz_00535 -0.51556095064881 1 24h
vnz_00535 -0.442327214023684 1 48h
vnz_00540 -0.126402076592745 1 18h
vnz_00540 -0.597290195724734 1 24h
vnz_00540 -0.269486671886695 1 48h
vnz_00545 -0.392114907734519 1 18h
vnz_00545 -0.543701440368473 1 24h
