gene logFC FDR add_variable
SCO5985 -14.5659479486 8.349e-05 dccr1vsWT
SCO5993 5.3152543991 0.003371 dccr1vsWT
SCO6010 7.4252398614 0.0002916 dccr1vsWT
SCO6011 5.7176143806 0.002006 dccr1vsWT
SCO6075 9.6700991129 5.578e-05 dccr1vsWT
SCO6091 -17.5874735511 1.321e-07 dccr1vsWT
SCO6131 8.4824828204 8.262e-05 dccr1vsWT
SCO6167 -5.5277278552 0.006036 dccr1vsWT
SCO6178 5.9383546889 0.0005605 dccr1vsWT
SCO6202 -6.9155323312 1.578e-05 dccr1vsWT
SCO6220 5.1707458268 0.001747 dccr1vsWT
SCO6224 7.9446991434 1.261e-05 dccr1vsWT
SCO6225 13.7811961546 4.899e-08 dccr1vsWT
SCO6257 14.2852323457 1.158e-05 dccr1vsWT
SCO6259 53.2600484837 0.0001478 dccr1vsWT
SCO6300 -5.4508949252 0.0001568 dccr1vsWT
SCO6375 -9.100394868 1.768e-07 dccr1vsWT
SCO6414 -5.5948687012 0.002422 dccr1vsWT
SCO6415 -5.462536424 0.003798 dccr1vsWT
SCO6494 -7.911106568 5.668e-05 dccr1vsWT
SCO6499 -5.597452698 0.0007638 dccr1vsWT
SCO6682 -16.5798573392 0.006174 dccr1vsWT
SCO6734 5.6345436894 0.0003098 dccr1vsWT
SCO6989 35.1655153498 1.954e-06 dccr1vsWT
SCO7034 -11.3436758641 2.579e-08 dccr1vsWT
SCO7058 -5.3912576564 0.007595 dccr1vsWT
SCO7098 -6.2809967374 0.0001907 dccr1vsWT
SCO7172 12.441653771 0.0004549 dccr1vsWT
SCO7179 20.6932586121 1.832e-05 dccr1vsWT
SCO7276 -15.4058375273 1.957e-05 dccr1vsWT
SCO7285 5.9765032272 0.0003148 dccr1vsWT
SCO7317 -6.3733486004 0.0004048 dccr1vsWT
SCO7399 8.2721665157 0.0002859 dccr1vsWT
SCO7431 -104.7262969098 0.0162848958 dccr1vsWT
SCO7462 5.2653315008 0.00143 dccr1vsWT
SCO7463 5.621288359 0.0002754 dccr1vsWT
SCO7464 5.2668181274 0.0006947 dccr1vsWT
SCO7466 5.965189273 0.0001314 dccr1vsWT
SCO7522 5.5224976652 0.00176 dccr1vsWT
SCO7536 -5.0186597265 0.003078 dccr1vsWT
SCO7585 -5.291044779 0.0005641 dccr1vsWT
SCO7588 5.9536149873 0.0006355 dccr1vsWT
SCO7613 -7.3069650358 2.019e-05 dccr1vsWT
SCO7664 -5.4291902002 0.0002504 dccr1vsWT
SCO7665 -10.1198681892 5.675e-05 dccr1vsWT
SCO7693 -6.6358390052 5.913e-06 dccr1vsWT
