	32hlogFC	42hlogFC	49hlogFC	56hlogFC	66hlogFC	32h	42h	49h	56h	66h
SCO1073	-0,126	-0,049	-0,425	-0,323	-0,044	0,76846	0,815884	0,009421	0,086869	0,910038
SCO1081	0,353	0,203	-0,007	0,553	0,833	0,359802	0,48623	0,98232	0,06444	0,001825
SCO1083	0,598	0,408	0,275	0,691	0,763	0,04889	0,127721	0,292458	0,019177	0,004807
SCO1084	1,815	2,115	1,548	1,383	1,156	0,000041	0,000002	0,000169	0,000896	0,002673
SCO1086	5,152	6,713	6,67	6,974	6,77	0	0	0	0	0
SCO1087	0,461	1,208	0,989	0,929	0,24	0,57285	0,005612	0,021154	0,067221	0,762572
SCO1090	0,391	1,127	0,536	0,409	-0,133	0,541726	0,001824	0,122051	0,441738	0,865726
SCO1100	0,271	0,151	-0,329	-0,112	-1,242	0,504427	0,585214	0,155252	0,808587	0,000007
SCO1103	-0,021	-0,434	-0,009	-0,022	0,019	0,999071	0,001602	0,95981	0,949821	0,957083
SCO1105	-0,49	0,606	0,368	0,293	-1,471	0,486021	0,156748	0,383152	0,674272	0,000782
SCO1113	0,29	0,619	0,717	0,829	0,381	0,559452	0,021627	0,009146	0,005966	0,215397
SCO1124	-0,091	0,997	1,065	1,545	1,547	0,999071	0,029405	0,016952	0,002044	0,001028
SCO1125	0,113	0,358	1,274	1,034	0,657	0,984805	0,303159	0,000335	0,004385	0,052176
SCO1126	0,14	0,579	1,283	0,659	0,59	0,976183	0,119495	0,001054	0,146634	0,139842
SCO1127	0,015	0,205	0,853	1,044	0,838	0,999071	0,507021	0,002862	0,000647	0,002958
SCO1128	0,05	0,453	1,06	1,028	0,759	0,999071	0,112019	0,000447	0,000918	0,007638
SCO1143	0,813	0,869	-0,27	-0,308	0,047	0,027841	0,007624	0,420848	0,549965	0,955762
SCO1147	-0,653	0,02	-0,232	-0,375	0,064	0,003961	0,944847	0,250417	0,134787	0,891995
SCO1149	-0,25	1,395	0,852	0,697	0,331	0,425396	0	0,000113	0,001566	0,123489
SCO1154	-0,24	-0,256	-0,655	-0,2	-0,073	0,379539	0,164647	0,000715	0,457842	0,846641
SCO1169	-0,3	-0,709	-0,495	-0,582	0,513	0,374736	0,001614	0,023037	0,019797	0,024121
SCO1172	0,935	0,905	-0,443	-0,291	-0,463	0,0054	0,003025	0,13324	0,537415	0,170019
SCO1174	0,52	0,065	-0,907	-0,097	-0,798	0,205547	0,878909	0,005144	0,887598	0,012608
SCO1176	-1,313	-0,205	-0,233	-0,667	-0,651	0,001659	0,64456	0,554986	0,154916	0,104316
SCO1178	-4,654	-1,3	-2,405	-2,7	-1,39	0,000137	0,241848	0,020815	0,023789	0,262263
SCO1186	-0,371	-0,309	-0,522	-0,021	-0,118	0,085959	0,092089	0,005316	0,964487	0,698644
SCO1187	-0,452	-0,673	0,086	0,04	0,017	0,128752	0,005186	0,751062	0,948328	0,979552
SCO1192	0,051	-0,228	-1,001	-0,073	-0,63	0,999071	0,510637	0,001946	0,919773	0,047339
SCO1204	0,219	1,512	1,367	1,253	1,15	0,653329	0	0,000002	0,000008	0,000014
SCO1206	0,188	1,93	0,734	0,274	0,049	0,960835	0,000045	0,080911	0,721164	0,966338
SCO1207	0,207	2,376	0,83	0,37	0,166	0,934626	0,000002	0,038575	0,572311	0,852234
SCO1208	0,017	1,647	0,38	-0,043	0,27	0,999071	0,000106	0,344391	0,967401	0,679096
SCO1209	0,282	0,311	0,035	0,17	0,868	0,563418	0,266582	0,914209	0,714051	0,001626
SCO1210	0,354	0,257	0,351	0,367	1,026	0,55374	0,48986	0,282056	0,457842	0,002588
SCO1225	0,227	0,748	0,192	0,323	0,516	0,485555	0,000212	0,319184	0,189426	0,009188
