gene	logFC	FDR
SVEN_5462	-0,02	0,8676027
SVEN_6036	-0,02	0,8703177
SVEN_3797	-0,02	0,8704241
SVEN_3256	-0,02	0,8717788
SVEN_5413	-0,02	0,8719141
SVEN_1092	-0,02	0,8727959
SVEN_2975	-0,02	0,8732254
SVEN_1120	-0,02	0,8743402
SVEN_7010	-0,02	0,8794708
SVEN_4175	-0,02	0,8797088
SVEN_5184	-0,02	0,8811607
SVEN_1819	-0,02	0,8824566
SVEN_4698	-0,02	0,8836355
SVEN_3238	-0,02	0,8836536
SVEN_5485	-0,02	0,8889748
SVEN_3384	-0,02	0,8923087
SVEN_6734	-0,02	0,8931331
SVEN_5554	-0,02	0,8942369
SVEN_6341	-0,02	0,901209
SVEN_5427	-0,02	0,9018668
SVEN_4719	-0,02	0,9060292
SVEN_4412	-0,02	0,9078278
SVEN_5828	-0,02	0,9081863
SVEN_0048	-0,02	0,9093615
SVEN_2011	-0,02	0,9110863
SVEN_1164	-0,02	0,9151367
SVEN_3379	-0,02	0,9151793
SVEN_3511	-0,02	0,919339
SVEN_5342	-0,02	0,920808
SVEN_6067	-0,02	0,9229484
SVEN_4326	-0,02	0,9235676
SVEN_2928	-0,02	0,9267932
SVEN_3410	-0,02	0,9283514
SVEN_0202	-0,02	0,9323472
SVEN_2883	-0,02	0,9332052
SVEN_0606	-0,02	0,9344484
SVEN_1531	-0,02	0,9354358
SVEN_3543	-0,02	0,9393757
SVEN_3453	-0,02	0,9418638
SVEN_7084	-0,02	0,9460591
SVEN_5104	-0,02	0,9540245
SVEN_6660	-0,02	0,9598972
SVEN_6788	-0,02	0,9562426
SVEN_7074	-0,02	0,9598825
SVEN_0757	-0,02	0,962747
SVEN_6557	-0,02	0,9635215
SVEN_5441	-0,02	0,9642406
SVEN_4472	-0,02	0,965553
SVEN_7167	-0,02	0,9685987
SVEN_5470	-0,02	0,9741748
SVEN_4886	-0,02	0,9751207
SVEN_0919	-0,02	0,9809081
SVEN_4105	-0,02	0,9827998
SVEN_5993	-0,02	0,9849278
SVEN_3989	-0,02	0,9878706
SVEN_6189	-0,02	0,9891455
SVEN_5396	-0,03	0,6296753
SVEN_3563	-0,03	0,6331102
SVEN_2317	-0,03	0,6599671
SVEN_5428	-0,03	0,6855062
SVEN_2388	-0,03	0,701348
SVEN_4780	-0,03	0,7037037
SVEN_5374	-0,03	0,7096643
SVEN_3257	-0,03	0,7104425
SVEN_3022	-0,03	0,713625
SVEN_2702	-0,03	0,7177738
SVEN_4454	-0,03	0,7223289
SVEN_3663	-0,03	0,722957
SVEN_2946	-0,03	0,7234841
SVEN_3650	-0,03	0,7261022
SVEN_3929	-0,03	0,7424701
SVEN_2939	-0,03	0,7466909
SVEN_2650	-0,03	0,7468221
SVEN_0992	-0,03	0,7521447
SVEN_4447	-0,03	0,7575343
SVEN_3439	-0,03	0,7589083
SVEN_2384	-0,03	0,7621332
SVEN_2297	-0,03	0,7622149
SVEN_2784	-0,03	0,7636726
SVEN_3281	-0,03	0,7649128
SVEN_2834	-0,03	0,7653865
SVEN_2452	-0,03	0,7663915
SVEN_2697	-0,03	0,7676136
SVEN_2177	-0,03	0,7681076
SVEN_3679	-0,03	0,7701045
SVEN_5375	-0,03	0,7709182
SVEN_4224	-0,03	0,772286
SVEN_1361	-0,03	0,7725664
SVEN_2331	-0,03	0,7728134
SVEN_3064	-0,03	0,7738533
SVEN_5472	-0,03	0,7741921
SVEN_5309	-0,03	0,7752112
SVEN_1432	-0,03	0,7765831
SVEN_4554	-0,03	0,7778873
SVEN_5969	-0,03	0,7789066
SVEN_4307	-0,03	0,7806234
SVEN_1141	-0,03	0,7829156
SVEN_1720	-0,03	0,7839862
SVEN_2927	-0,03	0,7869915
SVEN_5099	-0,03	0,787272
SVEN_2199	-0,03	0,7926874
SVEN_1851	-0,03	0,8006268
SVEN_5527	-0,03	0,8015991
SVEN_5957	-0,03	0,8016804
SVEN_1962	-0,03	0,8020793
SVEN_4942	-0,03	0,8040038
SVEN_2030	-0,03	0,8082861
SVEN_4836	-0,03	0,808379
SVEN_3159	-0,03	0,8131783
SVEN_3798	-0,03	0,8145223
SVEN_4134	-0,03	0,8164201
SVEN_4896	-0,03	0,8173209
SVEN_4507	-0,03	0,8175057
SVEN_3561	-0,03	0,8183494
SVEN_7327	-0,03	0,8199426
SVEN_4570	-0,03	0,8305422
SVEN_1693	-0,03	0,8312692
SVEN_6279	-0,03	0,8328187
SVEN_2171	-0,03	0,8338753
SVEN_1027	-0,03	0,8353513
SVEN_2025	-0,03	0,8383554
SVEN_0163	-0,03	0,8399909
SVEN_0764	-0,03	0,843254
SVEN_3523	-0,03	0,8448292
SVEN_0283	-0,03	0,8501026
SVEN_5189	-0,03	0,8513783
SVEN_1600	-0,03	0,8529768
SVEN_0736	-0,03	0,8555313
SVEN_5151	-0,03	0,8565045
SVEN_4745	-0,03	0,8587785
SVEN_6283	-0,03	0,8596917
SVEN_5735	-0,03	0,8628978
SVEN_0181	-0,03	0,8643928
SVEN_5268	-0,03	0,8680281
SVEN_6832	-0,03	0,8706057
SVEN_6353	-0,03	0,8721792
SVEN_6648	-0,03	0,8730155
SVEN_4744	-0,03	0,8757589
SVEN_7333	-0,03	0,882041
SVEN_3472	-0,03	0,8844637
SVEN_0274	-0,03	0,8861922
SVEN_0671	-0,03	0,8863048
SVEN_2824	-0,03	0,8867035
SVEN_5884	-0,03	0,8886291
SVEN_0943	-0,03	0,8887492
SVEN_0567	-0,03	0,8922535
SVEN_5927	-0,03	0,8946795
SVEN_3008	-0,03	0,8960607
SVEN_7438	-0,03	0,9098714
SVEN_6705	-0,03	0,9105962
SVEN_1467	-0,03	0,911763
SVEN_6977	-0,03	0,9118092
SVEN_7348	-0,03	0,9130084
SVEN_4061	-0,03	0,9141368
SVEN_3838	-0,03	0,9141689
SVEN_0004	-0,03	0,9160066
SVEN_0896	-0,03	0,9203691
SVEN_6940	-0,03	0,9224992
SVEN_3754	-0,03	0,9263648
SVEN_2912	-0,03	0,9279118
SVEN_4633	-0,03	0,92821
SVEN_3899	-0,03	0,9310593
SVEN_4596	-0,03	0,947078
SVEN_0784	-0,03	0,9508122
SVEN_4122	-0,03	0,9547895
SVEN_4377	-0,03	0,9788394
SVEN_2615	-0,03	0,9390874
SVEN_7013	-0,03	0,9432938
SVEN_6217	-0,03	0,9482724
SVEN_0331	-0,03	0,951282
SVEN_6366	-0,03	0,9529461
SVEN_4661	-0,03	0,9567964
SVEN_6030	-0,03	0,9574771
SVEN_5953	-0,03	0,9590173
SVEN_6822	-0,03	0,9597431
SVEN_1481	-0,03	0,9714084
SVEN_6778	-0,03	0,9776986
SVEN_7141	-0,03	0,9808979
SVEN_7155	-0,03	0,9835448
SVEN_0918	-0,03	0,9854374
SVEN_6070	-0,03	0,9860688
SVEN_0741	-0,04	0,5780072
SVEN_2963	-0,04	0,5850318
SVEN_6109	-0,04	0,5945565
SVEN_3437	-0,04	0,5965849
SVEN_3969	-0,04	0,6095038
SVEN_1770	-0,04	0,6123375
SVEN_3316	-0,04	0,6129348
SVEN_3029	-0,04	0,614525
SVEN_1473	-0,04	0,614842
SVEN_1736	-0,04	0,6160983
SVEN_3568	-0,04	0,6202143
SVEN_3255	-0,04	0,6265707
SVEN_5162	-0,04	0,6350692
SVEN_4958	-0,04	0,6375379
SVEN_4968	-0,04	0,6498818
SVEN_4967	-0,04	0,6525534
SVEN_3931	-0,04	0,656474
SVEN_0743	-0,04	0,6596069
SVEN_2111	-0,04	0,6650456
SVEN_3145	-0,04	0,6665748
SVEN_1109	-0,04	0,6679138
SVEN_4508	-0,04	0,6742493
SVEN_1728	-0,04	0,6774583
SVEN_2731	-0,04	0,6798643
SVEN_1390	-0,04	0,685233
SVEN_2968	-0,04	0,6945496
SVEN_3699	-0,04	0,6947301
SVEN_5902	-0,04	0,6978772
SVEN_3867	-0,04	0,7024281
SVEN_2174	-0,04	0,7030745
SVEN_2552	-0,04	0,7070017
SVEN_1262	-0,04	0,7072641
SVEN_2027	-0,04	0,7095214
SVEN_3926	-0,04	0,7135359
SVEN_2457	-0,04	0,7158107
SVEN_4812	-0,04	0,7240358
SVEN_5187	-0,04	0,7342952
SVEN_0989	-0,04	0,7351075
SVEN_0861	-0,04	0,7379543
SVEN_4493	-0,04	0,7388226
SVEN_4625	-0,04	0,7389158
SVEN_6966	-0,04	0,7433016
SVEN_2636	-0,04	0,743866
SVEN_1625	-0,04	0,7461103
SVEN_4247	-0,04	0,7463051
SVEN_2263	-0,04	0,7466287
SVEN_0886	-0,04	0,748432
SVEN_3928	-0,04	0,7497976
SVEN_3348	-0,04	0,7516239
SVEN_5403	-0,04	0,7521436
SVEN_0180	-0,04	0,7556547
SVEN_5105	-0,04	0,7558259
SVEN_5057	-0,04	0,7607495
SVEN_4070	-0,04	0,7626439
SVEN_1505	-0,04	0,7626784
SVEN_4707	-0,04	0,7642291
SVEN_4856	-0,04	0,7695786
SVEN_4721	-0,04	0,7750611
SVEN_0222	-0,04	0,7798916
SVEN_2547	-0,04	0,7805661
SVEN_0435	-0,04	0,7808903
SVEN_0234	-0,04	0,7848798
SVEN_1143	-0,04	0,785988
SVEN_5723	-0,04	0,7936753
SVEN_6616	-0,04	0,7938957
SVEN_4466	-0,04	0,7941311
SVEN_4581	-0,04	0,8035394
SVEN_2661	-0,04	0,8052616
SVEN_3153	-0,04	0,8077667
SVEN_6304	-0,04	0,8129148
SVEN_0932	-0,04	0,8142838
SVEN_2221	-0,04	0,8144741
SVEN_5867	-0,04	0,8150129
SVEN_4240	-0,04	0,830527
SVEN_4446	-0,04	0,8305712
SVEN_0340	-0,04	0,8329288
SVEN_6812	-0,04	0,8363102
SVEN_7358	-0,04	0,8374472
SVEN_1487	-0,04	0,8425887
SVEN_1182	-0,04	0,8474431
SVEN_3004	-0,04	0,8530958
SVEN_3446	-0,04	0,8595659
SVEN_6747	-0,04	0,8599448
SVEN_1050	-0,04	0,8608403
SVEN_4565	-0,04	0,869129
SVEN_5896	-0,04	0,8703968
SVEN_0284	-0,04	0,8835664
SVEN_0362	-0,04	0,8840123
SVEN_6540	-0,04	0,8863769
SVEN_1355	-0,04	0,889132
SVEN_5284	-0,04	0,8984646
SVEN_4108	-0,04	0,9009427
SVEN_3906	-0,04	0,9044895
SVEN_5131	-0,04	0,9235544
SVEN_5474	-0,04	0,9342381
SVEN_6484	-0,04	0,9386084
SVEN_3535	-0,04	0,9416328
SVEN_6285	-0,04	0,9423874
SVEN_6112	-0,04	0,9494545
SVEN_6624	-0,04	0,9545948
SVEN_3325	-0,04	0,9670638
SVEN_3262	-0,05	0,4892369
SVEN_2783	-0,05	0,4946368
SVEN_3662	-0,05	0,531459
SVEN_3865	-0,05	0,5360995
SVEN_4988	-0,05	0,5402605
SVEN_3125	-0,05	0,5447955
SVEN_2450	-0,05	0,5474723
SVEN_1555	-0,05	0,5477876
SVEN_3628	-0,05	0,5642299
SVEN_2964	-0,05	0,5651397
SVEN_3210	-0,05	0,568208
SVEN_5547	-0,05	0,5705721
SVEN_2701	-0,05	0,5774185
SVEN_2191	-0,05	0,5786728
SVEN_0710	-0,05	0,5795609
SVEN_3024	-0,05	0,5795993
SVEN_3621	-0,05	0,5843886
SVEN_2455	-0,05	0,5934509
SVEN_3655	-0,05	0,5940434
SVEN_2651	-0,05	0,5985443
SVEN_6299	-0,05	0,60772
SVEN_6090	-0,05	0,6104187
SVEN_2330	-0,05	0,6193124
SVEN_2920	-0,05	0,6271605
SVEN_5170	-0,05	0,6290718
SVEN_1491	-0,05	0,6310656
SVEN_4722	-0,05	0,6330555
SVEN_0708	-0,05	0,633185
SVEN_7395	-0,05	0,63585
SVEN_5388	-0,05	0,6373533
SVEN_6445	-0,05	0,6457907
SVEN_1409	-0,05	0,6470472
SVEN_2313	-0,05	0,6490968
SVEN_3601	-0,05	0,6492495
SVEN_1076	-0,05	0,6526366
SVEN_0642	-0,05	0,6555042
SVEN_2887	-0,05	0,6599062
SVEN_1545	-0,05	0,667266
SVEN_4255	-0,05	0,6715913
SVEN_0878	-0,05	0,6770566
SVEN_3636	-0,05	0,6797793
SVEN_t35	-0,05	0,6895722
SVEN_5213	-0,05	0,6904898
SVEN_5922	-0,05	0,6935016
SVEN_1609	-0,05	0,700345
SVEN_2780	-0,05	0,7053638
SVEN_1284	-0,05	0,708557
SVEN_3275	-0,05	0,7109016
SVEN_1727	-0,05	0,7125299
SVEN_1118	-0,05	0,7187163
SVEN_7176	-0,05	0,7194913
SVEN_2190	-0,05	0,7241287
SVEN_3382	-0,05	0,7296046
SVEN_3260	-0,05	0,7394907
SVEN_4740	-0,05	0,7479432
SVEN_0469	-0,05	0,7496578
SVEN_5058	-0,05	0,7527702
SVEN_4733	-0,05	0,7540388
SVEN_4946	-0,05	0,7578498
SVEN_2906	-0,05	0,7590867
SVEN_7441	-0,05	0,7753724
SVEN_6048	-0,05	0,7806228
SVEN_2829	-0,05	0,7828862
SVEN_3034	-0,05	0,789748
SVEN_5797	-0,05	0,7923267
SVEN_1056	-0,05	0,8007252
SVEN_0654	-0,05	0,8072578
SVEN_2961	-0,05	0,8107738
SVEN_3473	-0,05	0,8127556
SVEN_0559	-0,05	0,8145872
SVEN_0471	-0,05	0,8204959
SVEN_4163	-0,05	0,8210159
SVEN_1803	-0,05	0,828447
SVEN_5458	-0,05	0,8391866
SVEN_0177	-0,05	0,840761
SVEN_4218	-0,05	0,8502373
SVEN_6845	-0,05	0,8508044
SVEN_2910	-0,05	0,8559726
SVEN_t66	-0,05	0,8609497
SVEN_7165	-0,05	0,8631747
SVEN_5801	-0,05	0,8634498
SVEN_1297	-0,05	0,8655709
SVEN_4757	-0,05	0,8659917
SVEN_1169	-0,05	0,8722758
SVEN_7300	-0,05	0,872445
SVEN_6889	-0,05	0,8745226
SVEN_7320	-0,05	0,8780076
SVEN_6783	-0,05	0,8837637
SVEN_6232	-0,05	0,8858209
SVEN_2405	-0,05	0,8899283
SVEN_7351	-0,05	0,8950615
SVEN_3423	-0,05	0,9009499
SVEN_1312	-0,05	0,8992924
SVEN_2508	-0,05	0,9011631
SVEN_6569	-0,05	0,9144551
SVEN_6717	-0,05	0,9229898
SVEN_2740	-0,05	0,9275487
SVEN_6397	-0,05	0,931763
SVEN_2239	-0,05	0,9376431
SVEN_6865	-0,05	0,9380665
SVEN_6842	-0,05	0,9421463
SVEN_6932	-0,05	0,9458958
SVEN_6968	-0,05	0,9530678
SVEN_5457	-0,05	0,9535442
SVEN_6276	-0,05	0,9620484
SVEN_0201	-0,05	0,962471
SVEN_0372	-0,06	0,4154747
SVEN_4282	-0,06	0,4193618
SVEN_5377	-0,06	0,4397841
SVEN_3719	-0,06	0,4444635
SVEN_1759	-0,06	0,4610953
SVEN_5876	-0,06	0,4910411
SVEN_3373	-0,06	0,4970205
SVEN_5958	-0,06	0,4977662
SVEN_5538	-0,06	0,4983696
SVEN_5920	-0,06	0,4984784
SVEN_3391	-0,06	0,5018301
SVEN_5021	-0,06	0,5056555
SVEN_4870	-0,06	0,5103705
SVEN_2730	-0,06	0,5121773
SVEN_5026	-0,06	0,5153111
SVEN_4601	-0,06	0,5198827
SVEN_2806	-0,06	0,5228129
SVEN_2235	-0,06	0,5288374
SVEN_3840	-0,06	0,5482507
SVEN_2669	-0,06	0,5507108
SVEN_5007	-0,06	0,553097
SVEN_2440	-0,06	0,5534308
SVEN_6414	-0,06	0,5589005
SVEN_3901	-0,06	0,561651
SVEN_4045	-0,06	0,5697348
SVEN_2208	-0,06	0,5773102
SVEN_0235	-0,06	0,5849731
SVEN_4201	-0,06	0,5877501
SVEN_4345	-0,06	0,5883196
SVEN_2725	-0,06	0,590027
SVEN_1620	-0,06	0,593683
SVEN_4903	-0,06	0,5946802
SVEN_1887	-0,06	0,5994881
SVEN_7021	-0,06	0,6051347
SVEN_7024	-0,06	0,6122058
SVEN_6051	-0,06	0,6298723
SVEN_1601	-0,06	0,6305214
SVEN_2386	-0,06	0,6358479
SVEN_1653	-0,06	0,6360439
SVEN_3704	-0,06	0,6361158
SVEN_0089	-0,06	0,6413184
SVEN_3471	-0,06	0,6419171
SVEN_1572	-0,06	0,6440052
SVEN_4814	-0,06	0,645243
SVEN_4690	-0,06	0,6474819
SVEN_0775	-0,06	0,6521344
SVEN_3133	-0,06	0,6528602
SVEN_5304	-0,06	0,6567802
SVEN_5892	-0,06	0,6615732
SVEN_5782	-0,06	0,6630171
SVEN_6662	-0,06	0,6641735
SVEN_0818	-0,06	0,6666614
SVEN_0438	-0,06	0,6735255
SVEN_2494	-0,06	0,6807067
SVEN_3048	-0,06	0,6862221
SVEN_6419	-0,06	0,6879218
SVEN_3364	-0,06	0,7046447
SVEN_0750	-0,06	0,7237351
SVEN_0103	-0,06	0,7272522
SVEN_2379	-0,06	0,7283629
SVEN_6611	-0,06	0,733754
SVEN_3202	-0,06	0,7345522
SVEN_0629	-0,06	0,7388404
SVEN_5116	-0,06	0,7417406
SVEN_6153	-0,06	0,7537605
SVEN_3710	-0,06	0,7633501
SVEN_0125	-0,06	0,76382
SVEN_0250	-0,06	0,7679265
SVEN_0322	-0,06	0,7748282
SVEN_2444	-0,06	0,7780646
SVEN_0437	-0,06	0,780733
SVEN_4060	-0,06	0,7958276
SVEN_7077	-0,06	0,7995671
SVEN_0501	-0,06	0,819858
SVEN_0330	-0,06	0,8352457
EBG00001120657	-0,06	0,8455395
SVEN_4004	-0,06	0,8472992
SVEN_1483	-0,06	0,8549925
SVEN_t68	-0,06	0,8578078
SVEN_1582	-0,06	0,8785907
SVEN_5522	-0,06	0,8789888
SVEN_3956	-0,06	0,8864295
SVEN_6599	-0,06	0,8958808
SVEN_6240	-0,06	0,8818074
SVEN_6570	-0,06	0,8847287
SVEN_5905	-0,06	0,8962539
SVEN_4920	-0,06	0,9047634
SVEN_5126	-0,06	0,9065168
SVEN_4076	-0,06	0,9244075
SVEN_0191	-0,06	0,9328324
SVEN_2104	-0,06	0,9658021
SVEN_5684	-0,06	0,9677353
SVEN_0968	-0,07	0,3182967
SVEN_2918	-0,07	0,3306411
SVEN_3734	-0,07	0,3710306
SVEN_3633	-0,07	0,3779494
SVEN_5513	-0,07	0,3806703
SVEN_5521	-0,07	0,3937457
SVEN_1454	-0,07	0,4044563
SVEN_5544	-0,07	0,4058255
SVEN_5169	-0,07	0,4126186
SVEN_3641	-0,07	0,4138692
SVEN_1441	-0,07	0,4209204
SVEN_4936	-0,07	0,4255097
SVEN_5966	-0,07	0,4275004
SVEN_2328	-0,07	0,4398637
SVEN_2604	-0,07	0,445355
SVEN_2894	-0,07	0,4478282
SVEN_3521	-0,07	0,454739
SVEN_3706	-0,07	0,4551391
SVEN_3904	-0,07	0,4558039
SVEN_3140	-0,07	0,462645
SVEN_1758	-0,07	0,4635399
SVEN_5777	-0,07	0,4643068
SVEN_5165	-0,07	0,4745911
SVEN_6073	-0,07	0,4757905
SVEN_5310	-0,07	0,478442
SVEN_4398	-0,07	0,4873109
SVEN_2301	-0,07	0,4873344
SVEN_5229	-0,07	0,4918596
SVEN_0430	-0,07	0,4921505
SVEN_1144	-0,07	0,4977162
SVEN_5168	-0,07	0,5018771
SVEN_3599	-0,07	0,5109263
SVEN_4434	-0,07	0,5139035
SVEN_2442	-0,07	0,5143106
SVEN_2647	-0,07	0,5155793
SVEN_1190	-0,07	0,5313218
SVEN_5263	-0,07	0,5332566
SVEN_5499	-0,07	0,5355275
SVEN_3334	-0,07	0,5362174
SVEN_2200	-0,07	0,5474591
SVEN_3963	-0,07	0,5486547
SVEN_1509	-0,07	0,550488
SVEN_0579	-0,07	0,5514481
SVEN_0843	-0,07	0,5547798
SVEN_3212	-0,07	0,569689
SVEN_6612	-0,07	0,5848415
SVEN_7413	-0,07	0,586071
SVEN_0888	-0,07	0,5879719
SVEN_1232	-0,07	0,5890754
SVEN_1191	-0,07	0,5894078
SVEN_4599	-0,07	0,5900661
SVEN_4254	-0,07	0,5905417
SVEN_1308	-0,07	0,5994243
SVEN_4947	-0,07	0,6010957
SVEN_4542	-0,07	0,6237794
SVEN_5153	-0,07	0,6254647
SVEN_5408	-0,07	0,6369999
SVEN_7121	-0,07	0,6445537
SVEN_4597	-0,07	0,6583651
SVEN_6881	-0,07	0,6646009
SVEN_2958	-0,07	0,6706002
SVEN_2502	-0,07	0,6709517
SVEN_0159	-0,07	0,6846232
SVEN_7433	-0,07	0,6965078
SVEN_0251	-0,07	0,70412
SVEN_6438	-0,07	0,7092096
SVEN_6522	-0,07	0,7155131
SVEN_0031	-0,07	0,7256018
SVEN_4285	-0,07	0,7343052
SVEN_3575	-0,07	0,738525
SVEN_6481	-0,07	0,7590186
SVEN_7357	-0,07	0,7624538
SVEN_0217	-0,07	0,7631925
SVEN_7049	-0,07	0,7661916
SVEN_3451	-0,07	0,7776684
SVEN_2823	-0,07	0,7848257
SVEN_4692	-0,07	0,7962186
SVEN_0229	-0,07	0,8004927
SVEN_5226	-0,07	0,8059719
SVEN_3293	-0,07	0,8074826
SVEN_6554	-0,07	0,8113237
SVEN_7148	-0,07	0,8137938
SVEN_3052	-0,07	0,8140944
SVEN_0590	-0,07	0,8160645
SVEN_2127	-0,07	0,8172498
SVEN_0840	-0,07	0,8342297
SVEN_1181	-0,07	0,8342697
SVEN_6710	-0,07	0,8345196
SVEN_3082	-0,07	0,8349421
SVEN_6161	-0,07	0,8353982
SVEN_7400	-0,07	0,8364072
SVEN_4231	-0,07	0,8398623
SVEN_0659	-0,07	0,8538059
SVEN_6632	-0,07	0,8612755
SVEN_4887	-0,07	0,8721309
SVEN_5954	-0,07	0,8900255
SVEN_6582	-0,07	0,8787983
SVEN_5933	-0,07	0,9060509
SVEN_0016	-0,07	0,9151203
SVEN_1367	-0,07	0,9163669
SVEN_0474	-0,07	0,9212341
SVEN_7420	-0,07	0,9231147
SVEN_6031	-0,07	0,9313132
SVEN_0381	-0,07	0,9339466
SVEN_6062	-0,07	0,9519682
SVEN_5359	-0,08	0,2639331
SVEN_2952	-0,08	0,2651671
SVEN_5043	-0,08	0,2798378
SVEN_2787	-0,08	0,2833032
SVEN_4984	-0,08	0,287554
SVEN_0793	-0,08	0,2911451
SVEN_1732	-0,08	0,2969078
SVEN_4474	-0,08	0,30403
SVEN_2256	-0,08	0,3082227
SVEN_4793	-0,08	0,3229587
SVEN_2251	-0,08	0,3259626
SVEN_5542	-0,08	0,3289718
SVEN_5318	-0,08	0,3294105
SVEN_4795	-0,08	0,3357859
SVEN_2032	-0,08	0,3401635
SVEN_3270	-0,08	0,3483036
SVEN_4696	-0,08	0,3537737
SVEN_4333	-0,08	0,3609128
SVEN_1632	-0,08	0,3675997
SVEN_5539	-0,08	0,3681561
SVEN_2186	-0,08	0,3684788
SVEN_5360	-0,08	0,3813482
SVEN_3597	-0,08	0,3897017
SVEN_5566	-0,08	0,4027743
SVEN_1639	-0,08	0,4165874
SVEN_6426	-0,08	0,4209082
SVEN_3146	-0,08	0,4219626
SVEN_1843	-0,08	0,4246312
SVEN_4948	-0,08	0,4267466
SVEN_0794	-0,08	0,4300356
SVEN_4159	-0,08	0,436164
SVEN_5826	-0,08	0,4416679
SVEN_3115	-0,08	0,4429388
SVEN_5018	-0,08	0,4436244
SVEN_5325	-0,08	0,4547129
SVEN_2703	-0,08	0,4704389
SVEN_3643	-0,08	0,4794336
SVEN_5820	-0,08	0,4848046
SVEN_5378	-0,08	0,4880475
SVEN_2764	-0,08	0,4904372
SVEN_4701	-0,08	0,4918942
SVEN_4251	-0,08	0,4961843
SVEN_1995	-0,08	0,4979353
SVEN_2185	-0,08	0,4981892
SVEN_0270	-0,08	0,4986351
SVEN_6580	-0,08	0,5109865
SVEN_1093	-0,08	0,5117075
SVEN_3782	-0,08	0,5134221
SVEN_3147	-0,08	0,5140861
SVEN_1939	-0,08	0,5141583
SVEN_4772	-0,08	0,5243315
SVEN_5199	-0,08	0,5252981
SVEN_0950	-0,08	0,525981
SVEN_6020	-0,08	0,531356
SVEN_4123	-0,08	0,5335045
SVEN_0990	-0,08	0,5342475
SVEN_5725	-0,08	0,5489661
SVEN_1768	-0,08	0,5678323
SVEN_6803	-0,08	0,5812259
SVEN_0041	-0,08	0,5896146
SVEN_7222	-0,08	0,6042716
SVEN_1280	-0,08	0,609506
SVEN_6664	-0,08	0,6119024
SVEN_2668	-0,08	0,6140159
SVEN_7051	-0,08	0,6157666
SVEN_0892	-0,08	0,6187523
SVEN_1428	-0,08	0,6391922
SVEN_5074	-0,08	0,6483813
SVEN_0718	-0,08	0,6516848
SVEN_1282	-0,08	0,6556422
SVEN_1399	-0,08	0,6661883
SVEN_4276	-0,08	0,6783108
SVEN_6543	-0,08	0,6992927
SVEN_4863	-0,08	0,7061641
SVEN_t30	-0,08	0,7232343
SVEN_6434	-0,08	0,7238088
SVEN_0652	-0,08	0,7264734
SVEN_0155	-0,08	0,7304628
SVEN_4243	-0,08	0,7597063
SVEN_0571	-0,08	0,762621
SVEN_4306	-0,08	0,7679857
SVEN_0377	-0,08	0,7696114
SVEN_5063	-0,08	0,7778862
SVEN_6103	-0,08	0,7829343
SVEN_2966	-0,08	0,796351
SVEN_3196	-0,08	0,8274649
SVEN_6211	-0,08	0,8338026
SVEN_6218	-0,08	0,8337751
SVEN_4351	-0,08	0,8660393
SVEN_4749	-0,08	0,8878509
SVEN_0446	-0,08	0,8944123
SVEN_7239	-0,08	0,9036532
SVEN_6796	-0,08	0,9220726
SVEN_7189	-0,08	0,9225531
SVEN_6099	-0,08	0,9638582
SVEN_2031	-0,09	0,2206783
SVEN_1831	-0,09	0,2310869
SVEN_4987	-0,09	0,246988
SVEN_5376	-0,09	0,2482722
SVEN_4491	-0,09	0,2697254
SVEN_3084	-0,09	0,2761388
SVEN_5157	-0,09	0,2782081
SVEN_3629	-0,09	0,2854401
SVEN_5004	-0,09	0,2884789
SVEN_5468	-0,09	0,2890673
SVEN_0972	-0,09	0,294773
SVEN_3412	-0,09	0,2976389
SVEN_5023	-0,09	0,2988757
SVEN_2536	-0,09	0,3132061
SVEN_4515	-0,09	0,319724
SVEN_1281	-0,09	0,3205319
SVEN_4953	-0,09	0,3316505
SVEN_0820	-0,09	0,3394215
SVEN_7201	-0,09	0,347726
SVEN_4697	-0,09	0,3497377
SVEN_4430	-0,09	0,3538367
SVEN_3010	-0,09	0,3647637
SVEN_4470	-0,09	0,3694104
SVEN_1779	-0,09	0,3728291
SVEN_5265	-0,09	0,3733263
SVEN_1405	-0,09	0,3758764
SVEN_4291	-0,09	0,3763536
SVEN_7258	-0,09	0,3859948
SVEN_3057	-0,09	0,3917677
SVEN_5466	-0,09	0,3925355
SVEN_2042	-0,09	0,4048164
SVEN_4520	-0,09	0,4172004
SVEN_1726	-0,09	0,4217872
SVEN_4531	-0,09	0,4240194
SVEN_1333	-0,09	0,4265792
SVEN_4256	-0,09	0,4310847
SVEN_0336	-0,09	0,4383439
SVEN_5154	-0,09	0,4502637
SVEN_0206	-0,09	0,4581591
SVEN_2348	-0,09	0,461198
SVEN_4994	-0,09	0,4615674
SVEN_0240	-0,09	0,4681168
SVEN_4835	-0,09	0,4715253
SVEN_0879	-0,09	0,4797975
SVEN_1622	-0,09	0,4833281
SVEN_5947	-0,09	0,4834386
SVEN_0118	-0,09	0,4977555
SVEN_5901	-0,09	0,5007972
SVEN_3401	-0,09	0,5009272
SVEN_3219	-0,09	0,5101847
SVEN_1309	-0,09	0,5242597
SVEN_1646	-0,09	0,5254775
SVEN_3689	-0,09	0,5296173
SVEN_t42	-0,09	0,533258
SVEN_3771	-0,09	0,54022
SVEN_5056	-0,09	0,5407717
SVEN_5874	-0,09	0,54738
SVEN_7430	-0,09	0,5480281
SVEN_3363	-0,09	0,5504078
SVEN_3854	-0,09	0,5624325
