gene	logFC_24h	logFC_30h	logFC_36h	logFC_42h	logFC_54h	FDR									
SCO2580	0,31	0,44	1	0,44	0,46	0,0192									
SCO2581	0,43	0,92	1,14	0,78	0,74	0,648									
SCO2591	0,43	0,71	0,84	0,58	0,65	0,0523									
SCO2592	0,62	0,76	0,64	0,51	0,49	0,0443									
SCO2597	0,59	0,85	0,56	0,36	0,46	0,0095									
SCO2629	0,55	0,7	3,47	1,44	1,13	0,3701									
SCO2633	0,55	0,44	0,99	0,26	0,4	0,0051									
SCO2634	0,58	0,67	1,15	0,35	0,39	0,0327									
SCO2636	1,21	1,64	1,22	1,9	2,91	0,0046									
SCO2637	1,03	1,42	0,98	1,57	2,16	0,19									
SCO2641	0,45	0,66	0,92	0,62	0,58	0,1024									
SCO2648	0,36	0,71	0,81	1,3	1,08	0,6975						(SSB	1)		
SCO2683	1,16	1,09	1,6	1,64	2,01	0,0692									
SCO2684	1,02	1,6	1,3	2,37	2,22	0,0102									
SCO2699	0,89	2,05	1,02	1,71	2,38	0,0048									
SCO2704	1,1	2,37	1,33	3,16	3,51	0									
SCO2705	1,87	2,37	1,31	3,53	4,54	0									
SCO2716	3,15	3,69	1,29	4,79	7,68	0									
SCO2718	3,62	2,61	0,91	2,25	6,21	0									
SCO2719	2,57	2,12	0,79	1,63	3,74	0,0002									
SCO2725	0,48	0,78	1,09	1,11	0,86	0,9094									
SCO2728	1,12	1,75	1,17	1,48	2,1	0,0582									
SCO2729	0,73	1,31	0,9	2,03	2,33	0,1468									
SCO2730	0,48	0,97	1,23	1,27	1,47	1,0258									
SCO2768	0,46	0,75	0,88	0,69	0,75	0,2787									
SCO2774	1,59	2,57	0,89	1,71	1,56	0,0018									
SCO2779	1,34	0,93	1,24	2,07	1,76	0,0379									
SCO2795	1,79	2,4	0,89	1,75	2,27	0,0073									
SCO2797	1,3	1,61	1,13	1,56	2,06	0,0641									
SCO2819	0,38	0,42	0,87	0,29	0,35	0,0054						protein			
SCO2830	0,57	0,91	1,04	2,37	1,52	0,4533									
SCO2838	0,45	0,75	0,9	0,71	0,69	0,2338									
SCO2845	2,41	1,18	0,82	0,98	1,15	0,4459									
SCO2858	0,5	0,78	1,11	1,15	0,94	1,1319									
SCO2882	0,77	0,81	0,68	0,49	0,53	0,0721									
SCO2887	0,43	0,96	1,2	0,96	0,96	1,1095									
SCO2905	0,26	0,46	0,89	0,71	0,54	0,0086									
SCO2910	0,35	0,5	0,8	0,41	0,42	0,0066									
SCO2911	0,43	0,35	0,82	0,29	0,31	0,0044									
SCO2912	0,42	0,44	0,59	0,32	0,32	0,0014									
SCO2924	1,86	3,66	1,11	3,92	4,85	0									
SCO2928	2,05	1,3	1,13	1,8	1,87	0,0251						(HSl)			
SCO2950	1,07	2,13	0,67	0,81	0,99	0,1829									
SCO2953	0,51	0,73	0,59	0,48	0,64	0,0182									
SCO2954	0,59	0,84	0,57	0,47	0,52	0,0109									
SCO2959	1,85	2,91	0,39	1,13	1,09	0,0073									
SCO2970	0,33	0,81	0,97	0,74	0,59	0,1501									
