logFC	FDR	gene	add_variable
0,0545	0,918974	SCO0418	solid culture
0,0544	0,749181	SCO3760	solid culture
0,0543	0,678947	SCO3963	solid culture
0,0542	0,771752	SCO6820	solid culture
0,0541	0,820707	SCO7736	solid culture
0,0541	0,415304	SCO3497	solid culture
0,0539	0,802605	SCO0369	solid culture
0,0538	0,641105	SCO3621	solid culture
0,0536	0,772441	SCO3767	solid culture
0,0535	0,581779	SCO4668	solid culture
0,0532	0,794535	SCO2493	solid culture
0,053	0,826402	SCO3892	solid culture
0,0525	0,582909	SCO4132	solid culture
0,0525	0,571141	SCO4316	solid culture
0,0522	0,849239	SCO0146	solid culture
0,052	0,753141	SCO3906	solid culture
0,0518	0,835521	SCO7612	solid culture
0,0517	0,889411	SCO2413	solid culture
0,0516	0,798802	SCO6825	solid culture
0,0516	0,81439	SCO2721	solid culture
0,0515	0,601692	SCO6110	solid culture
0,0515	0,542357	SCO2620	solid culture
0,0514	0,706221	SCO2757	solid culture
0,0511	0,746192	SCO7203	solid culture
0,051	0,905969	SCO6873	solid culture
0,0509	0,77663	SCO2720	solid culture
0,0508	0,807337	SCO4959	solid culture
0,0507	0,800545	SCO0336	solid culture
0,0504	0,783474	SCO5588	solid culture
0,0504	0,772555	SCO3173	solid culture
0,0503	0,738771	SCO1237	solid culture
0,05	0,757492	SCO5962	solid culture
0,0497	0,796095	SCO2814	solid culture
0,0497	0,664617	SCO0611	solid culture
0,0494	0,873858	SCO4102	solid culture
0,0492	0,774946	SCO3393	solid culture
0,049	0,611213	SCO7595	solid culture
0,0489	0,67648	SCO4735	solid culture
0,0486	0,895524	SCO7800	solid culture
0,0484	0,862174	SCO0754	solid culture
0,0478	0,888594	SCO7116	solid culture
0,0471	0,883904	SCO4670	solid culture
0,0469	0,65702	SCO6305	solid culture
0,0469	0,878901	SCO7145	solid culture
0,0459	0,609777	SCO7567	solid culture
0,0458	0,912095	SCO5637	solid culture
0,0456	0,900739	SCO3735	solid culture
0,0454	0,878992	SCO1377	solid culture
0,0452	0,843108	SCO3738	solid culture
0,0451	0,838973	SCO1232	solid culture
0,045	0,678328	SCO2544	solid culture
0,0449	0,818037	SCO2129	solid culture
0,0441	0,855467	SCO3831	solid culture
0,044	0,744969	SCO3114	solid culture
0,0438	0,568911	SCO6723	solid culture
0,0436	0,822537	SCO4397	solid culture
0,0436	0,874904	SCO6585	solid culture
0,0435	0,801324	SCO2436	solid culture
0,0428	0,65577	SCO1252	solid culture
0,0423	0,649305	SCO6733	solid culture
0,0422	0,924963	SCO3936	solid culture
0,0421	0,772179	SCO1702	solid culture
0,0421	0,844922	SCO4729	solid culture
0,042	0,677425	SCO6745	solid culture
0,0418	0,729694	SCO0443	solid culture
0,0414	0,694431	SCO7530	solid culture
0,0411	0,81829	SCO0707	solid culture
0,041	0,906493	SCO3252	solid culture
0,0408	0,918313	SCO3783	solid culture
0,0406	0,839998	SCO7320	solid culture
0,0406	0,754546	SCO5358	solid culture
0,0405	0,869505	SCO0807	solid culture
0,0404	0,825412	SCO3454	solid culture
0,0401	0,863829	SCO0766	solid culture
0,0398	0,916822	SCO2425	solid culture
0,0395	0,806226	SCO1709	solid culture
0,0394	0,88621	SCO2496	solid culture
0,0389	0,920411	SCO4513	solid culture
0,0386	0,731913	SCO5199	solid culture
0,0385	0,458184	SCO7275	solid culture
0,0384	0,853403	SCO7578	solid culture
0,0383	0,875093	SCO0549	solid culture
0,0383	0,824118	SCO4099	solid culture
0,0382	0,907496	SCO5681	solid culture
0,0382	0,845193	SCO7623	solid culture
0,0377	0,749728	SCO7642	solid culture
0,0372	0,803067	SCO7357	solid culture
0,037	0,833529	SCO6809	solid culture
0,0367	0,923505	SCO7403	solid culture
0,0361	0,798058	SCO1639	solid culture
0,0357	0,881048	SCO1194	solid culture
0,0355	0,701719	SCO0564	solid culture
0,0354	0,863818	SCO0712	solid culture
0,0354	0,860988	SCO3485	solid culture
0,035	0,907982	SCO0963	solid culture
0,035	0,897381	SCO4098	solid culture
0,0349	0,7817	SCO3866	solid culture
0,0344	0,733707	SCO0613	solid culture
0,0343	0,860988	SCO0083	solid culture
0,0342	0,850909	SCO6366	solid culture
0,0337	0,899949	SCO3742	solid culture
0,0336	0,909868	SCO2433	solid culture
0,0334	0,878901	SCO6896	solid culture
0,0334	0,807251	SCO5429	solid culture
0,0326	0,912739	SCO0259	solid culture
0,0326	0,833529	SCO2554	solid culture
0,0325	0,911041	SCO2100	solid culture
0,0322	0,918313	SCO1536	solid culture
0,0321	0,91557	SCO2460	solid culture
0,0318	0,899054	SCO7010	solid culture
0,0317	0,83064	SCO4456	solid culture
0,0315	0,819909	SCO2309	solid culture
0,0314	0,858244	SCO1316	solid culture
0,0311	0,929753	SCO0836	solid culture
0,031	0,877151	SCO5284	solid culture
0,0308	0,731913	SCO6300	solid culture
0,0307	0,89435	SCO3510	solid culture
0,0306	0,892519	SCO2542	solid culture
0,0306	0,841612	SCO7235	solid culture
0,0304	0,88267	SCO5344	solid culture
0,0303	0,9427	SCO4505	solid culture
0,0301	0,843401	SCO3599	solid culture
0,03	0,807934	SCO4536	solid culture
0,0298	0,878708	SCO0894	solid culture
0,0298	0,710426	SCO1778	solid culture
0,0296	0,933169	SCO6190	solid culture
0,0295	0,901338	SCO7167	solid culture
0,0295	0,777427	SCO5469	solid culture
0,0294	0,877681	SCO7543	solid culture
0,0292	0,895175	SCO1098	solid culture
0,0289	0,741689	SCO3093	solid culture
0,0288	0,799505	SCO0757	solid culture
0,0287	0,789839	SCO1103	solid culture
0,0287	0,941575	SCO2691	solid culture
0,0282	0,906745	SCO7637	solid culture
0,0281	0,95914	SCO0896	solid culture
0,0277	0,801492	SCO1268	solid culture
0,0276	0,825142	SCO3209	solid culture
0,0269	0,921911	SCO7631	solid culture
0,0269	0,94146	SCO6813	solid culture
0,0264	0,733275	SCO1830	solid culture
0,0258	0,825485	SCO6707	solid culture
0,0257	0,931564	SCO5900	solid culture
0,0254	0,886219	SCO5491	solid culture
0,025	0,931166	SCO7193	solid culture
0,0245	0,965555	SCO4225	solid culture
0,0235	0,80183	SCO2444	solid culture
0,0233	0,922986	SCO3018	solid culture
0,0233	0,83903	SCO7298	solid culture
0,0233	0,926217	SCO7423	solid culture
0,0232	0,928238	SCO2459	solid culture
0,0228	0,957932	SCO6327	solid culture
0,0227	0,938043	SCO6753	solid culture
0,0226	0,849459	SCO0676	solid culture
0,0226	0,91956	SCO4007	solid culture
0,0225	0,914019	SCO7630	solid culture
0,0225	0,891794	SCO2550	solid culture
0,0221	0,976995	SCO7091	solid culture
0,0219	0,889362	SCO3409	solid culture
0,0219	0,942769	SCO7518	solid culture
0,0219	0,918048	SCO7375	solid culture
0,0218	0,751114	SCO0267	solid culture
0,0216	0,901338	SCO4932	solid culture
0,0215	0,740579	SCO3612	solid culture
0,0213	0,875417	SCO4111	solid culture
0,021	0,964882	SCO0060	solid culture
0,0207	0,955526	SCO3994	solid culture
0,0205	0,914542	SCO6956	solid culture
0,0205	0,749184	SCO4503	solid culture
0,0203	0,85986	SCO5580	solid culture
0,0198	0,908984	SCO1555	solid culture
0,0194	0,81129	SCO4168	solid culture
0,0194	0,917693	SCO0516	solid culture
0,0193	0,84968	SCO4426	solid culture
0,0191	0,945833	SCO1255	solid culture
0,0186	0,900004	SCO1059	solid culture
0,0185	0,881127	SCO7624	solid culture
0,018	0,94146	SCO2600	solid culture
0,0178	0,896654	SCO1597	solid culture
0,0177	0,901301	SCO6718	solid culture
0,0174	0,934564	SCO2609	solid culture
0,0169	0,889202	SCO5872	solid culture
0,0166	0,946117	SCO6666	solid culture
0,0162	0,91636	SCO5246	solid culture
0,0161	0,964198	SCO1049	solid culture
0,0158	0,940857	SCO4725	solid culture
0,0157	0,963943	SCO4304	solid culture
0,0155	0,930882	SCO6729	solid culture
0,0153	0,884448	SCO5151	solid culture
0,0151	0,949347	SCO6047	solid culture
0,0149	0,91334	SCO1682	solid culture
0,0148	0,945672	SCO0667	solid culture
0,0148	0,940895	SCO2052	solid culture
0,0144	0,897496	SCO0908	solid culture
0,014	0,959867	SCO6664	solid culture
0,0138	0,976215	SCO5272	solid culture
0,0138	0,956719	SCO7249	solid culture
0,0137	0,971763	SCO6633	solid culture
0,0135	0,930648	SCO5805	solid culture
0,0134	0,935618	SCO1722	solid culture
0,0134	0,937225	SCO1196	solid culture
0,0133	0,910369	SCO3154	solid culture
0,0133	0,954741	SCO2277	solid culture
0,0132	0,954999	SCO3178	solid culture
0,013	0,95363	SCO7171	solid culture
0,0129	0,957969	SCO7118	solid culture
0,0128	0,934763	SCO7640	solid culture
0,0124	0,930128	SCO2090	solid culture
0,0121	0,900881	SCO7709	solid culture
0,012	0,943165	SCO1394	solid culture
0,0119	0,954247	SCO1080	solid culture
0,0117	0,93973	SCO5094	solid culture
0,0116	0,946444	SCO6337	solid culture
0,0116	0,939518	SCO6656	solid culture
0,0116	0,94331	SCO2200	solid culture
0,0114	0,931593	SCO6362	solid culture
0,0114	0,972061	SCO7456	solid culture
0,0113	0,936661	SCO6818	solid culture
0,0112	0,959695	SCO3192	solid culture
0,0111	0,926392	SCO6309	solid culture
0,0102	0,861249	SCO0407	solid culture
0,0101	0,946957	SCO4001	solid culture
0,0101	0,89687	SCO1547	solid culture
0,0099	0,961846	SCO0713	solid culture
0,0099	0,920835	SCO3654	solid culture
0,0098	0,952883	SCO4331	solid culture
0,0098	0,967429	SCO7433	solid culture
0,0091	0,967072	SCO1324	solid culture
0,009	0,937312	SCO1398	solid culture
0,009	0,969388	SCO5623	solid culture
0,0086	0,968052	SCO6181	solid culture
0,0084	0,91334	SCO3672	solid culture
0,0084	0,961458	SCO5060	solid culture
0,0083	0,913684	SCO3545	solid culture
0,0083	0,970354	SCO0356	solid culture
0,0081	0,95521	SCO7359	solid culture
0,0081	0,9782	SCO4942	solid culture
0,0077	0,955526	SCO6719	solid culture
0,0076	0,988601	SCO2108	solid culture
0,0075	0,979051	SCO2795	solid culture
0,007	0,967072	SCO6062	solid culture
0,0069	0,977695	SCO0790	solid culture
0,0066	0,96731	SCO0568	solid culture
0,0066	0,959695	SCO5418	solid culture
0,0064	0,989695	SCO6870	solid culture
0,0062	0,979051	SCO7532	solid culture
0,006	0,981265	SCO0616	solid culture
0,006	0,985227	SCO5093	solid culture
0,0059	0,976279	SCO3119	solid culture
0,0059	0,989352	SCO5636	solid culture
0,0059	0,973827	SCO7143	solid culture
0,0057	0,983667	SCO2650	solid culture
0,0057	0,988609	SCO0380	solid culture
0,0055	0,985566	SCO4479	solid culture
0,0054	0,985068	SCO0634	solid culture
0,0051	0,986497	SCO0619	solid culture
0,0051	0,978597	SCO3529	solid culture
0,0045	0,989378	SCO7774	solid culture
0,0045	0,991487	SCO2543	solid culture
0,0042	0,982488	SCO3094	solid culture
0,0038	0,946906	SCO7101	solid culture
0,0037	0,987769	SCO7593	solid culture
0,0036	0,992606	SCO6852	solid culture
0,0035	0,988363	SCO1305	solid culture
0,0035	0,985566	SCO4267	solid culture
0,0034	0,990106	SCO2993	solid culture
0,003	0,992089	SCO5574	solid culture
0,0028	0,991487	SCO4626	solid culture
0,0028	0,992216	SCO6602	solid culture
0,0024	0,992606	SCO5347	solid culture
0,002	0,981778	SCO2438	solid culture
0,002	0,992787	SCO4506	solid culture
0,0014	0,997871	SCO4540	solid culture
0,001	0,992855	SCO3977	solid culture
0,0009	0,997644	SCO6188	solid culture
0,0008	0,994396	SCO3124	solid culture
0,0006	0,997587	SCO5689	solid culture
0,0004	0,996686	SCO4234	solid culture
0,0002	0,996686	SCO3840	solid culture
0	0,999898	SCO2884	solid culture
0	0,999898	SCO2096	solid culture
0	0,999884	SCO6905	solid culture
-1E-04	0,999602	SCO6632	solid culture
-0,0003	0,999617	SCO7753	solid culture
-0,0004	0,998769	SCO1885	solid culture
-0,0009	0,993026	SCO6067	solid culture
-0,001	0,993993	SCO3689	solid culture
-0,0013	0,991206	SCO4788	solid culture
-0,0016	0,99505	SCO5765	solid culture
-0,0019	0,988935	SCO3180	solid culture
-0,0022	0,987769	SCO5714	solid culture
-0,0024	0,975723	SCO5158	solid culture
-0,0024	0,990785	SCO0940	solid culture
-0,0025	0,994611	SCO0084	solid culture
-0,0029	0,992216	SCO0893	solid culture
-0,0029	0,981009	SCO2116	solid culture
-0,003	0,974994	SCO4185	solid culture
-0,0035	0,989085	SCO7380	solid culture
-0,0038	0,983284	SCO3613	solid culture
-0,0038	0,986326	SCO3856	solid culture
-0,0039	0,990418	SCO0735	solid culture
-0,004	0,989085	SCO0862	solid culture
-0,0044	0,98008	SCO4220	solid culture
-0,0045	0,979051	SCO4831	solid culture
-0,0046	0,989124	SCO0371	solid culture
-0,0047	0,937225	SCO4321	solid culture
-0,0048	0,976427	SCO4931	solid culture
-0,0048	0,977611	SCO4101	solid culture
-0,0049	0,970095	SCO0806	solid culture
-0,0049	0,970261	SCO0309	solid culture
-0,0053	0,98188	SCO5950	solid culture
-0,0053	0,939543	SCO4373	solid culture
-0,0054	0,977221	SCO2551	solid culture
-0,0056	0,969669	SCO5489	solid culture
-0,0057	0,968775	SCO0067	solid culture
-0,0057	0,986326	SCO5334	solid culture
-0,0061	0,969656	SCO6688	solid culture
-0,0061	0,980575	SCO2567	solid culture
-0,0062	0,968737	SCO1501	solid culture
-0,0063	0,9679	SCO5602	solid culture
-0,0067	0,970513	SCO7113	solid culture
-0,0069	0,945281	SCO0511	solid culture
-0,007	0,980654	SCO1635	solid culture
-0,0071	0,974814	SCO6530	solid culture
-0,0073	0,958918	SCO2466	solid culture
-0,0073	0,959354	SCO3652	solid culture
-0,0074	0,988483	SCO2596	solid culture
-0,0076	0,96502	SCO7508	solid culture
-0,0077	0,970372	SCO0773	solid culture
-0,0078	0,937004	SCO3391	solid culture
-0,0079	0,961244	SCO1996	solid culture
-0,0081	0,934319	SCO3807	solid culture
-0,0083	0,978214	SCO4464	solid culture
-0,0085	0,954901	SCO0786	solid culture
-0,0089	0,960723	SCO1021	solid culture
-0,0091	0,956598	SCO2233	solid culture
-0,0094	0,967072	SCO0921	solid culture
-0,0098	0,95521	SCO0747	solid culture
-0,0099	0,979282	SCO5903	solid culture
-0,0101	0,968111	SCO7609	solid culture
-0,0101	0,955692	SCO0635	solid culture
-0,0102	0,976016	SCO0765	solid culture
-0,0103	0,985785	SCO4743	solid culture
-0,0104	0,965464	SCO2649	solid culture
-0,0105	0,935618	SCO6116	solid culture
-0,0108	0,965005	SCO4218	solid culture
-0,0111	0,925832	SCO1300	solid culture
-0,0113	0,981095	SCO7085	solid culture
-0,0114	0,917284	SCO7556	solid culture
-0,0114	0,968111	SCO3585	solid culture
-0,0117	0,935844	SCO4795	solid culture
-0,0119	0,894601	SCO2945	solid culture
-0,012	0,918732	SCO7546	solid culture
-0,0121	0,979282	SCO7682	solid culture
-0,0122	0,935158	SCO3816	solid culture
-0,0127	0,945878	SCO1716	solid culture
-0,013	0,920917	SCO6381	solid culture
-0,0131	0,965318	SCO1526	solid culture
-0,0132	0,942269	SCO0299	solid culture
-0,0134	0,942269	SCO3381	solid culture
-0,0136	0,879318	SCO7071	solid culture
-0,0138	0,910926	SCO3976	solid culture
-0,0138	0,940857	SCO0288	solid culture
-0,0145	0,957574	SCO6860	solid culture
-0,0145	0,932611	SCO6840	solid culture
-0,0145	0,945672	SCO2085	solid culture
-0,0147	0,873888	SCO1817	solid culture
-0,0147	0,965508	SCO6674	solid culture
-0,0151	0,910937	SCO5804	solid culture
-0,0154	0,945589	SCO5477	solid culture
-0,0157	0,863818	SCO3015	solid culture
-0,016	0,879435	SCO5797	solid culture
-0,0161	0,970095	SCO3518	solid culture
-0,0161	0,947407	SCO7141	solid culture
-0,0162	0,957442	SCO7238	solid culture
-0,0163	0,960806	SCO4178	solid culture
-0,0165	0,94294	SCO1140	solid culture
-0,0171	0,835051	SCO0639	solid culture
-0,0171	0,898335	SCO1701	solid culture
-0,0171	0,943174	SCO6531	solid culture
-0,0173	0,878265	SCO4445	solid culture
-0,0174	0,897381	SCO3264	solid culture
-0,0175	0,910181	SCO1020	solid culture
-0,0176	0,95943	SCO3553	solid culture
-0,0182	0,891215	SCO2657	solid culture
-0,0185	0,894754	SCO4399	solid culture
-0,0185	0,944113	SCO6365	solid culture
-0,0186	0,818828	SCO5030	solid culture
-0,0187	0,957309	SCO2724	solid culture
-0,0188	0,931151	SCO1073	solid culture
-0,0189	0,832769	SCO5164	solid culture
-0,019	0,890953	SCO0240	solid culture
-0,0195	0,920835	SCO5144	solid culture
-0,0196	0,972309	SCO7180	solid culture
-0,0202	0,909362	SCO5512	solid culture
-0,0202	0,820635	SCO4009	solid culture
-0,0202	0,917284	SCO6072	solid culture
-0,0205	0,861205	SCO6972	solid culture
-0,0206	0,923505	SCO7545	solid culture
-0,0207	0,923546	SCO0890	solid culture
-0,0211	0,893655	SCO2392	solid culture
-0,0212	0,95737	SCO3256	solid culture
-0,0213	0,90633	SCO0898	solid culture
-0,0214	0,89946	SCO6428	solid culture
-0,0219	0,930454	SCO5531	solid culture
-0,0221	0,946957	SCO1275	solid culture
-0,0226	0,853012	SCO0505	solid culture
-0,0226	0,953205	SCO1199	solid culture
-0,0227	0,909201	SCO6927	solid culture
-0,0228	0,872659	SCO7303	solid culture
-0,0232	0,765792	SCO1951	solid culture
-0,0232	0,832007	SCO1553	solid culture
-0,0234	0,886173	SCO0301	solid culture
-0,0236	0,828581	SCO5437	solid culture
-0,0239	0,894986	SCO6447	solid culture
-0,0243	0,857711	SCO7478	solid culture
-0,0244	0,93153	SCO2541	solid culture
-0,0244	0,805054	SCO4733	solid culture
-0,0248	0,910849	SCO6119	solid culture
-0,0249	0,91769	SCO5579	solid culture
-0,0251	0,851247	SCO6264	solid culture
-0,0253	0,930454	SCO0637	solid culture
-0,0254	0,839998	SCO0575	solid culture
-0,0258	0,831096	SCO5661	solid culture
-0,0258	0,839998	SCO2989	solid culture
-0,0259	0,934564	SCO3120	solid culture
-0,0262	0,841477	SCO0142	solid culture
-0,0267	0,907726	SCO0964	solid culture
-0,0267	0,804802	SCO0420	solid culture
-0,0271	0,931627	SCO3438	solid culture
-0,0272	0,889573	SCO4709	solid culture
-0,0273	0,938899	SCO6952	solid culture
-0,0274	0,894784	SCO4276	solid culture
-0,0278	0,936534	SCO7148	solid culture
-0,0283	0,924155	SCO3680	solid culture
-0,0285	0,876452	SCO5116	solid culture
-0,0286	0,903042	SCO6364	solid culture
-0,0286	0,858635	SCO3567	solid culture
-0,0286	0,884588	SCO1411	solid culture
-0,0292	0,858118	SCO4024	solid culture
-0,0293	0,764184	SCO7650	solid culture
-0,0293	0,924478	SCO6922	solid culture
-0,03	0,760689	SCO7326	solid culture
-0,0301	0,879676	SCO5548	solid culture
-0,0301	0,81439	SCO3765	solid culture
-0,0303	0,929608	SCO7201	solid culture
-0,0304	0,879716	SCO3881	solid culture
-0,0307	0,852886	SCO0628	solid culture
-0,031	0,937853	SCO2865	solid culture
-0,0311	0,932946	SCO3061	solid culture
-0,0312	0,529555	SCO5141	solid culture
-0,0313	0,866318	SCO3697	solid culture
-0,0313	0,908146	SCO4191	solid culture
-0,0313	0,853403	SCO5529	solid culture
-0,0314	0,776199	SCO3658	solid culture
-0,032	0,832007	SCO4879	solid culture
-0,0321	0,903957	SCO0726	solid culture
-0,0321	0,874498	SCO0927	solid culture
-0,0321	0,885394	SCO4014	solid culture
-0,0321	0,855686	SCO1382	solid culture
-0,0322	0,768582	SCO6989	solid culture
-0,0322	0,653186	SCO1824	solid culture
-0,0323	0,865437	SCO5932	solid culture
-0,0326	0,872555	SCO6942	solid culture
-0,0326	0,894693	SCO3923	solid culture
-0,0332	0,87052	SCO0138	solid culture
-0,0337	0,773798	SCO5933	solid culture
-0,0338	0,860111	SCO2499	solid culture
-0,0338	0,686847	SCO3828	solid culture
-0,0342	0,93392	SCO5941	solid culture
-0,0342	0,854636	SCO7309	solid culture
-0,0343	0,886181	SCO2247	solid culture
-0,0346	0,819935	SCO3646	solid culture
-0,0347	0,893289	SCO1841	solid culture
-0,0348	0,773798	SCO6588	solid culture
-0,0348	0,901119	SCO2426	solid culture
-0,0351	0,919054	SCO0303	solid culture
-0,0351	0,912385	SCO4694	solid culture
-0,0352	0,860329	SCO6837	solid culture
-0,0362	0,820094	SCO0838	solid culture
-0,0362	0,860988	SCO6985	solid culture
-0,0368	0,888731	SCO2286	solid culture
-0,037	0,916647	SCO6473	solid culture
-0,0372	0,920411	SCO3999	solid culture
-0,0373	0,773152	SCO7301	solid culture
-0,0373	0,737585	SCO4887	solid culture
-0,0374	0,775529	SCO3951	solid culture
-0,0374	0,903815	SCO2827	solid culture
-0,0385	0,876986	SCO6921	solid culture
-0,0387	0,832772	SCO7584	solid culture
-0,0391	0,848662	SCO3556	solid culture
-0,0391	0,818226	SCO1136	solid culture
-0,0392	0,890512	SCO6883	solid culture
-0,0394	0,866006	SCO0183	solid culture
-0,0394	0,924478	SCO3021	solid culture
-0,0395	0,844926	SCO7504	solid culture
-0,0398	0,821832	SCO6699	solid culture
-0,0399	0,722627	SCO6899	solid culture
-0,04	0,914881	SCO5463	solid culture
-0,04	0,831648	SCO5824	solid culture
-0,04	0,694431	SCO0848	solid culture
-0,04	0,84894	SCO3759	solid culture
-0,0403	0,682078	SCO5848	solid culture
-0,0405	0,640593	SCO0803	solid culture
-0,0407	0,852001	SCO1715	solid culture
-0,0409	0,643537	SCO1253	solid culture
-0,041	0,779926	SCO0583	solid culture
-0,0411	0,833529	SCO4362	solid culture
-0,0415	0,74423	SCO4072	solid culture
-0,0417	0,642087	SCO0544	solid culture
-0,0422	0,829748	SCO4717	solid culture
-0,0422	0,787246	SCO3580	solid culture
-0,0422	0,847476	SCO4394	solid culture
-0,0422	0,852526	SCO2906	solid culture
-0,0424	0,801387	SCO0051	solid culture
-0,0425	0,832007	SCO1594	solid culture
-0,0428	0,877911	SCO4405	solid culture
-0,043	0,923505	SCO5729	solid culture
-0,0433	0,734731	SCO6090	solid culture
-0,0433	0,708707	SCO7369	solid culture
-0,0434	0,487473	SCO6740	solid culture
-0,0435	0,888663	SCO6886	solid culture
-0,0437	0,737882	SCO1351	solid culture
-0,0438	0,877267	SCO5798	solid culture
-0,0441	0,687401	SCO2137	solid culture
-0,0441	0,48133	SCO4115	solid culture
-0,0442	0,73457	SCO1397	solid culture
-0,0445	0,801217	SCO7151	solid culture
-0,0445	0,789231	SCO6864	solid culture
-0,0447	0,903042	SCO6642	solid culture
-0,0448	0,776014	SCO6297	solid culture
-0,0448	0,872555	SCO1664	solid culture
-0,045	0,883592	SCO1374	solid culture
-0,0453	0,774542	SCO3170	solid culture
-0,0454	0,841477	SCO1130	solid culture
-0,0455	0,766468	SCO2448	solid culture
-0,0461	0,832751	SCO6800	solid culture
-0,0461	0,874904	SCO5054	solid culture
-0,0468	0,792279	SCO1063	solid culture
-0,0468	0,823387	SCO4689	solid culture
-0,0471	0,785662	SCO0422	solid culture
-0,0471	0,795054	SCO1211	solid culture
-0,0477	0,77652	SCO2215	solid culture
-0,048	0,562236	SCO4860	solid culture
-0,048	0,829586	SCO3847	solid culture
-0,0481	0,343769	SCO0269	solid culture
-0,0481	0,65824	SCO4150	solid culture
-0,0486	0,8085	SCO7599	solid culture
-0,0489	0,776594	SCO4291	solid culture
-0,0491	0,452726	SCO7009	solid culture
-0,0492	0,805291	SCO0150	solid culture
-0,0493	0,734656	SCO6970	solid culture
-0,0495	0,750875	SCO4870	solid culture
-0,0497	0,844511	SCO3904	solid culture
-0,0497	0,86884	SCO4815	solid culture
-0,0498	0,878296	SCO7386	solid culture
-0,0498	0,819469	SCO7521	solid culture
-0,0501	0,756778	SCO5959	solid culture
-0,0505	0,859415	SCO0233	solid culture
-0,0508	0,814564	SCO1349	solid culture
-0,0509	0,568878	SCO5183	solid culture
-0,0509	0,785507	SCO0514	solid culture
-0,0512	0,672943	SCO7711	solid culture
-0,0513	0,799651	SCO3304	solid culture
-0,0513	0,699416	SCO3594	solid culture
-0,0513	0,759776	SCO0129	solid culture
-0,0515	0,839998	SCO1927	solid culture
-0,0516	0,810596	SCO3461	solid culture
-0,0517	0,826636	SCO3193	solid culture
-0,0517	0,860459	SCO5473	solid culture
-0,0519	0,777534	SCO2126	solid culture
-0,052	0,69094	SCO1371	solid culture
-0,0521	0,755435	SCO1736	solid culture
-0,0523	0,689943	SCO2057	solid culture
-0,0529	0,932139	SCO5617	solid culture
-0,0529	0,677589	SCO7067	solid culture
-0,053	0,526647	SCO7076	solid culture
-0,053	0,563829	SCO2760	solid culture
-0,0531	0,786231	SCO4085	solid culture
-0,0533	0,707719	SCO7006	solid culture
-0,0536	0,782081	SCO6557	solid culture
-0,0537	0,819935	SCO2476	solid culture
-0,0539	0,61225	SCO4110	solid culture
-0,054	0,756776	SCO5152	solid culture
-0,0544	0,800395	SCO4588	solid culture
-0,0544	0,43165	SCO5507	solid culture
-0,0546	0,709685	SCO3820	solid culture
-0,0548	0,820094	SCO4964	solid culture
-0,0548	0,512261	SCO2886	solid culture
-0,0549	0,723289	SCO6371	solid culture
-0,055	0,88782	SCO1914	solid culture
-0,0552	0,667118	SCO0813	solid culture
-0,0553	0,898912	SCO3354	solid culture
-0,0553	0,726377	SCO3042	solid culture
-0,0554	0,744043	SCO6477	solid culture
-0,0556	0,761763	SCO4667	solid culture
-0,0557	0,686403	SCO0529	solid culture
-0,0559	0,821843	SCO0555	solid culture
-0,056	0,535385	SCO7479	solid culture
-0,056	0,746192	SCO7225	solid culture
-0,0563	0,843951	SCO7245	solid culture
-0,0565	0,726379	SCO1979	solid culture
-0,0565	0,501563	SCO0466	solid culture
-0,0567	0,872555	SCO0744	solid culture
-0,0567	0,699491	SCO2104	solid culture
-0,0569	0,78033	SCO7539	solid culture
-0,057	0,736022	SCO2502	solid culture
-0,0572	0,671888	SCO4012	solid culture
-0,0572	0,821843	SCO3238	solid culture
-0,0574	0,726997	SCO7162	solid culture
-0,0576	0,503921	SCO3464	solid culture
-0,058	0,843805	SCO0694	solid culture
-0,0583	0,847185	SCO1096	solid culture
-0,0586	0,549237	SCO5778	solid culture
-0,0588	0,733449	SCO6113	solid culture
-0,0589	0,772343	SCO6183	solid culture
-0,0592	0,459742	SCO2960	solid culture
-0,0592	0,726961	SCO4208	solid culture
-0,0592	0,849459	SCO5520	solid culture
-0,0593	0,885102	SCO1793	solid culture
-0,0593	0,742902	SCO7234	solid culture
-0,0601	0,828718	SCO5618	solid culture
-0,0604	0,709961	SCO6095	solid culture
-0,0607	0,873881	SCO2968	solid culture
-0,0608	0,691153	SCO0983	solid culture
-0,061	0,889573	SCO4937	solid culture
-0,0611	0,783412	SCO5868	solid culture
-0,0611	0,58731	SCO2625	solid culture
-0,0615	0,585702	SCO0333	solid culture
-0,0616	0,677782	SCO7644	solid culture
-0,0618	0,775361	SCO0370	solid culture
-0,062	0,780499	SCO1783	solid culture
-0,0622	0,752354	SCO0293	solid culture
-0,0622	0,831507	SCO2419	solid culture
-0,0626	0,58043	SCO7505	solid culture
-0,0626	0,54569	SCO2830	solid culture
-0,0627	0,696054	SCO2509	solid culture
-0,0627	0,789774	SCO2916	solid culture
-0,0628	0,819569	SCO5972	solid culture
-0,0629	0,780328	SCO4971	solid culture
-0,0629	0,508402	SCO4488	solid culture
-0,063	0,766256	SCO3035	solid culture
-0,0632	0,656043	SCO1370	solid culture
-0,0634	0,852722	SCO5051	solid culture
-0,0634	0,679505	SCO7004	solid culture
-0,0636	0,600035	SCO2598	solid culture
-0,0639	0,671297	SCO1733	solid culture
-0,0641	0,643848	SCO2083	solid culture
-0,0644	0,841901	SCO7003	solid culture
-0,0644	0,777522	SCO6233	solid culture
-0,0645	0,717714	SCO6192	solid culture
