logFC	FDR	gene	add_variable
-0,4935	0,005942	SCO7384	liquid culture
2,6342	0	SCO4800	liquid culture
3,827	0	SCO5391	liquid culture
2,565	0	SCO5460	liquid culture
0,411	0,104889	SCO7337	liquid culture
2,8851	0	SCO5012	liquid culture
4,5312	0	SCO5581	liquid culture
2,5863	0	SCO5420	liquid culture
1,5711	0	SCO4789	liquid culture
0,9163	0,000537	SCO5644	liquid culture
-1,1905	1,00E-06	SCO3475	liquid culture
4,09	0	SCO1838	liquid culture
0,3906	0,125914	SCO6211	liquid culture
-0,2877	0,330453	SCO1823	liquid culture
0,5807	0,001428	SCO6167	liquid culture
0,9288	0,000452	SCO7700	liquid culture
1,0371	9,90E-05	SCO5610	liquid culture
2,7015	0	SCO1173	liquid culture
-0,8223	4,00E-06	SCO3704	liquid culture
1,6677	1,20E-05	SCO0615	liquid culture
1,0626	1,00E-06	SCO2465	liquid culture
1,2716	5,00E-06	SCO2246	liquid culture
2,1753	0	SCO5013	liquid culture
0,8034	2,20E-05	SCO5029	liquid culture
1,1163	1,00E-06	SCO2237	liquid culture
1,5132	4,00E-06	SCO3365	liquid culture
4,4403	0	SCO5100	liquid culture
1,7445	0	SCO5442	liquid culture
-1,3543	9,00E-06	SCO6161	liquid culture
2,2474	1,50E-05	SCO4574	liquid culture
4,4325	0	SCO7189	liquid culture
2,5464	0	SCO4349	liquid culture
2,1709	0	SCO4239	liquid culture
0,482	0,014994	SCO5785	liquid culture
0,3377	0,04639	SCO2423	liquid culture
0,3655	0,024962	SCO7334	liquid culture
2,0119	0	SCO1943	liquid culture
4,8168	0	SCO5970	liquid culture
4,7069	0	SCO5079	liquid culture
0,9528	0,000542	SCO4767	liquid culture
1,0693	1,00E-06	SCO5240	liquid culture
2,346	0	SCO4575	liquid culture
0,5763	0,040253	SCO4425	liquid culture
0,83	0,000523	SCO2407	liquid culture
1,621	0	SCO6979	liquid culture
1,122	9,70E-05	SCO0243	liquid culture
2,5439	0	SCO2520	liquid culture
1,614	3,00E-06	SCO6323	liquid culture
5,6038	0	SCO5086	liquid culture
0,6858	4,60E-05	SCO2908	liquid culture
3,8843	0	SCO3975	liquid culture
5,8613	0	SCO5084	liquid culture
1,8342	0	SCO5244	liquid culture
1,4545	0,000187	SCO6027	liquid culture
0,1278	0,614163	SCO6209	liquid culture
1,3033	3,60E-05	SCO5561	liquid culture
0,7169	0,011549	SCO5108	liquid culture
0,5298	0,004487	SCO5189	liquid culture
0,0794	0,739101	SCO2574	liquid culture
4,1855	0	SCO5790	liquid culture
2,4815	1,00E-06	SCO4565	liquid culture
0,8817	0,000291	SCO6708	liquid culture
2,1085	0,000104	SCO4562	liquid culture
2,5738	0	SCO3350	liquid culture
-0,3036	0,306672	SCO7551	liquid culture
4,2172	0	SCO5078	liquid culture
2,8606	0	SCO4039	liquid culture
0,7778	0,001845	SCO6908	liquid culture
1,1652	1,00E-06	SCO2079	liquid culture
-0,0848	0,72922	SCO0915	liquid culture
2,6714	0	SCO0943	liquid culture
2,069	0	SCO7226	liquid culture
1,9382	0,000228	SCO6812	liquid culture
-1,1502	1,00E-06	SCO1828	liquid culture
2,4062	0	SCO5758	liquid culture
2,7911	0	SCO2008	liquid culture
0,339	0,299645	SCO5343	liquid culture
4,3905	0	SCO0673	liquid culture
1,0485	1,00E-06	SCO7335	liquid culture
1,0801	3,00E-06	SCO3547	liquid culture
1,6204	0	SCO4769	liquid culture
1,3955	0	SCO2522	liquid culture
3,2573	0	SCO4581	liquid culture
0,4888	0,00273	SCO4108	liquid culture
6,3879	0	SCO6931	liquid culture
2,0969	1,00E-06	SCO4564	liquid culture
0,6551	0,059436	SCO7306	liquid culture
0,6274	0,000224	SCO6595	liquid culture
1,0342	2,00E-06	SCO6172	liquid culture
1,6993	0	SCO0584	liquid culture
3,426	0	SCO1241	liquid culture
3,1712	0	SCO6794	liquid culture
0,4006	0,008466	SCO7330	liquid culture
2,752	0	SCO1470	liquid culture
1,8739	0	SCO0586	liquid culture
0,3401	0,064436	SCO6515	liquid culture
0,877	0,000372	SCO2727	liquid culture
-0,0237	0,921175	SCO6375	liquid culture
1,2203	1,40E-05	SCO3051	liquid culture
1,5307	0	SCO4237	liquid culture
1,5181	0	SCO5819	liquid culture
-0,2818	0,378966	SCO1195	liquid culture
0,3127	0,079081	SCO4819	liquid culture
1,407	1,10E-05	SCO6206	liquid culture
1,7568	0	SCO2726	liquid culture
2,5328	0	SCO0569	liquid culture
2,3421	0	SCO3329	liquid culture
0,6128	0,000113	SCO0736	liquid culture
1,4665	0	SCO0242	liquid culture
1,1986	1,20E-05	SCO4748	liquid culture
0,6607	0,000364	SCO0411	liquid culture
2,8177	0	SCO5889	liquid culture
1,1512	0	SCO5799	liquid culture
1,2625	9,00E-06	SCO0419	liquid culture
0,8156	7,70E-05	SCO3925	liquid culture
1,5739	3,00E-06	SCO7065	liquid culture
6,5707	0	SCO6286	liquid culture
0,8044	0,000149	SCO2391	liquid culture
0,2331	0,258256	SCO6566	liquid culture
1,8312	8,00E-06	SCO6906	liquid culture
4,5891	0	SCO5250	liquid culture
1,9552	0	SCO1757	liquid culture
2,8507	0	SCO4861	liquid culture
1,0611	2,00E-06	SCO5575	liquid culture
0,9949	0,000154	SCO6384	liquid culture
1,0293	4,00E-06	SCO5106	liquid culture
-0,396	0,009887	SCO2153	liquid culture
0,4422	0,026761	SCO3905	liquid culture
3,5373	0	SCO1480	liquid culture
2,948	0	SCO3291	liquid culture
1,3583	0	SCO5109	liquid culture
2,2862	0	SCO4184	liquid culture
1,0997	4,10E-05	SCO6394	liquid culture
2,2255	0	SCO0988	liquid culture
2,7544	0	SCO4350	liquid culture
1,8154	0,00223	SCO1048	liquid culture
1,6227	0	SCO5789	liquid culture
2,1141	0	SCO5398	liquid culture
3,2436	0	SCO1158	liquid culture
3,9288	0	SCO0397	liquid culture
-0,0707	0,791461	SCO0837	liquid culture
3,8377	0	SCO2822	liquid culture
-0,1059	0,635135	SCO6029	liquid culture
-0,5856	0,006761	SCO0649	liquid culture
0,1275	0,54935	SCO3343	liquid culture
2,4931	0	SCO5396	liquid culture
1,6998	4,00E-05	SCO5898	liquid culture
0,8554	1,00E-06	SCO5784	liquid culture
4,0724	0	SCO5885	liquid culture
1,1721	2,00E-05	SCO6951	liquid culture
0,7659	0,012924	SCO7665	liquid culture
0,6305	0,004911	SCO7620	liquid culture
3,9281	0	SCO4266	liquid culture
1,177	1,00E-06	SCO0704	liquid culture
1,4059	0	SCO2999	liquid culture
4,3734	0	SCO5076	liquid culture
3,4487	0	SCO3656	liquid culture
0,4678	0,047533	SCO0509	liquid culture
1,9649	0	SCO1982	liquid culture
0,0052	0,982552	SCO3023	liquid culture
0,1738	0,393581	SCO3082	liquid culture
1,6559	9,00E-06	SCO7573	liquid culture
0,8195	1,90E-05	SCO1240	liquid culture
1,6153	0	SCO0705	liquid culture
2,6775	0	SCO1426	liquid culture
0,9421	1,00E-06	SCO5820	liquid culture
1,6646	5,60E-05	SCO6393	liquid culture
0,2056	0,308551	SCO7590	liquid culture
1,5545	0	SCO6205	liquid culture
0,7104	6,80E-05	SCO1590	liquid culture
0,271	0,36481	SCO6547	liquid culture
0,42	0,057784	SCO1822	liquid culture
1,2233	0,00019	SCO5522	liquid culture
1,4225	0,000237	SCO2009	liquid culture
0,5414	0,020894	SCO3814	liquid culture
1,6853	0	SCO4676	liquid culture
5,0641	0	SCO5880	liquid culture
0,8136	0,000321	SCO6236	liquid culture
4,8442	0	SCO5081	liquid culture
1,4538	0	SCO6157	liquid culture
1,4679	0	SCO6887	liquid culture
2,4933	0	SCO1155	liquid culture
2,1002	0	SCO5243	liquid culture
0,8057	1,00E-05	SCO6201	liquid culture
2,4694	0	SCO2768	liquid culture
-0,1003	0,698025	SCO3990	liquid culture
1,1348	6,40E-05	SCO6950	liquid culture
-0,3946	0,018735	SCO0043	liquid culture
3,7419	0	SCO6484	liquid culture
2,8772	0	SCO5137	liquid culture
1,6043	0	SCO4790	liquid culture
2,1996	0	SCO3293	liquid culture
-0,0554	0,818941	SCO5446	liquid culture
-0,1705	0,420299	SCO6571	liquid culture
2,8018	0	SCO2263	liquid culture
0,4134	0,106558	SCO5338	liquid culture
1,6748	0	SCO5865	liquid culture
2,2645	0	SCO5306	liquid culture
5,6039	0	SCO6749	liquid culture
1,0704	4,00E-06	SCO1262	liquid culture
0,923	7,00E-06	SCO5138	liquid culture
-0,4308	0,101071	SCO0665	liquid culture
2,0744	0	SCO5749	liquid culture
1,8295	0	SCO5386	liquid culture
0,0255	0,916762	SCO5990	liquid culture
0,9543	0,000139	SCO2370	liquid culture
-1,0362	0,000312	SCO0334	liquid culture
1,9202	3,00E-06	SCO4038	liquid culture
3,4394	0	SCO2927	liquid culture
0,6923	0,065083	SCO5640	liquid culture
0,8775	4,80E-05	SCO5539	liquid culture
4,0144	0	SCO0268	liquid culture
3,6249	0	SCO5028	liquid culture
2,142	0	SCO2584	liquid culture
0,4015	0,009813	SCO2835	liquid culture
0,5561	0,003343	SCO2252	liquid culture
0,6782	0,000794	SCO2561	liquid culture
1,9732	0	SCO2495	liquid culture
1,7002	3,00E-06	SCO7658	liquid culture
0,5945	0,047402	SCO5015	liquid culture
0,977	2,00E-06	SCO1428	liquid culture
0,791	0,007172	SCO1238	liquid culture
1,521	0	SCO4799	liquid culture
0,5871	0,120315	SCO5342	liquid culture
1,4325	0	SCO5996	liquid culture
1,5518	6,00E-06	SCO1163	liquid culture
1,1114	9,00E-06	SCO6469	liquid culture
1,7466	0	SCO2919	liquid culture
1,6886	4,00E-06	SCO3206	liquid culture
2,2699	0	SCO7098	liquid culture
0,987	5,20E-05	SCO1571	liquid culture
2,9794	0	SCO7269	liquid culture
1,7319	0	SCO5538	liquid culture
3,597	0	SCO0388	liquid culture
1,0193	1,00E-06	SCO0703	liquid culture
2,7076	0	SCO1532	liquid culture
-0,3653	0,101497	SCO3862	liquid culture
0,2852	0,130986	SCO1905	liquid culture
0,6559	0,000118	SCO5207	liquid culture
0,0586	0,832913	SCO7740	liquid culture
-0,9174	2,30E-05	SCO3473	liquid culture
5,3631	0	SCO5073	liquid culture
1,3212	3,00E-06	SCO1381	liquid culture
0,2557	0,199556	SCO6417	liquid culture
0,8887	0,001907	SCO2494	liquid culture
-0,3046	0,153269	SCO0121	liquid culture
1,0854	1,00E-06	SCO2521	liquid culture
1,6444	0	SCO0732	liquid culture
-1,1158	3,00E-06	SCO0465	liquid culture
1,1436	0,001932	SCO1090	liquid culture
1,6585	0	SCO5759	liquid culture
1,2284	3,00E-06	SCO1452	liquid culture
5,69	0	SCO5080	liquid culture
4,8462	0	SCO5088	liquid culture
0,0123	0,959019	SCO6516	liquid culture
0,9433	5,30E-05	SCO6171	liquid culture
-0,0417	0,865934	SCO5556	liquid culture
-0,2458	0,289407	SCO7074	liquid culture
0,471	0,004142	SCO5693	liquid culture
3,4568	0	SCO4983	liquid culture
5,0866	0	SCO5877	liquid culture
-0,0031	0,991944	SCO6980	liquid culture
2,6851	0	SCO1574	liquid culture
2,3975	0	SCO6828	liquid culture
-0,8174	8,00E-06	SCO4131	liquid culture
0,0084	0,971739	SCO1321	liquid culture
0,4044	0,015971	SCO2067	liquid culture
0,6363	0,002907	SCO0764	liquid culture
-0,9782	2,20E-05	SCO1415	liquid culture
-1,6517	0	SCO3474	liquid culture
0,4006	0,02638	SCO6128	liquid culture
1,2609	0	SCO4265	liquid culture
3,3302	0	SCO2530	liquid culture
1,7075	0	SCO5014	liquid culture
-0,0739	0,751251	SCO2704	liquid culture
2,7531	0	SCO6796	liquid culture
0,0983	0,669452	SCO5555	liquid culture
3,1118	0	SCO4441	liquid culture
0,7223	9,00E-04	SCO1376	liquid culture
1,11	2,40E-05	SCO7765	liquid culture
0,0534	0,839958	SCO6572	liquid culture
1,7027	1,50E-05	SCO2512	liquid culture
1,7962	0	SCO0752	liquid culture
1,7207	0	SCO5537	liquid culture
1,9592	0	SCO3578	liquid culture
0,3763	0,092304	SCO3786	liquid culture
1,0318	8,60E-05	SCO6195	liquid culture
1,1319	1,00E-06	SCO5545	liquid culture
0,4459	0,036426	SCO7147	liquid culture
1,1473	1,00E-06	SCO6520	liquid culture
2,6579	0	SCO4091	liquid culture
4,846	0	SCO3663	liquid culture
-0,3146	0,123576	SCO1050	liquid culture
0,9048	2,00E-06	SCO2102	liquid culture
2,8897	0	SCO7246	liquid culture
1,1358	0,000123	SCO6196	liquid culture
-0,362	0,043196	SCO2705	liquid culture
1,0337	5,30E-05	SCO2381	liquid culture
-0,0654	0,78911	SCO0412	liquid culture
-0,7725	4,70E-05	SCO4688	liquid culture
1,7581	4,00E-06	SCO4088	liquid culture
-1,1752	0	SCO3478	liquid culture
2,4205	2,00E-06	SCO2114	liquid culture
0,335	0,287469	SCO6240	liquid culture
0,6883	0,003582	SCO0882	liquid culture
1,3114	3,00E-06	SCO2978	liquid culture
0,2929	0,087912	SCO2924	liquid culture
1,5788	0	SCO5209	liquid culture
1,86	0	SCO5160	liquid culture
2,5245	0	SCO7657	liquid culture
2,1477	9,00E-06	SCO4056	liquid culture
-1,4026	2,00E-06	SCO4002	liquid culture
1,6682	0	SCO6647	liquid culture
-0,2875	0,300558	SCO4679	liquid culture
0,5004	0,010677	SCO7127	liquid culture
1,2642	1,00E-06	SCO5187	liquid culture
1,5819	1,00E-06	SCO6637	liquid culture
2,1291	0	SCO2265	liquid culture
1,653	0	SCO0587	liquid culture
0,5031	0,015036	SCO4682	liquid culture
-0,3652	0,115015	SCO1347	liquid culture
1,5514	0	SCO5983	liquid culture
0,9177	0,009159	SCO5642	liquid culture
0,9372	0,000361	SCO6204	liquid culture
4,0384	0	SCO7471	liquid culture
-0,0608	0,793916	SCO0650	liquid culture
1,3969	1,30E-05	SCO3715	liquid culture
0,4785	0,097187	SCO1276	liquid culture
0,6864	0,001128	SCO6390	liquid culture
1,6432	0	SCO7227	liquid culture
-0,8733	5,90E-05	SCO3705	liquid culture
1,1493	4,20E-05	SCO0315	liquid culture
1,0486	5,60E-05	SCO3799	liquid culture
0,0799	0,742064	SCO2903	liquid culture
-0,2757	0,086492	SCO5318	liquid culture
0,6187	6,60E-05	SCO2312	liquid culture
2,6223	0	SCO1993	liquid culture
0,2468	0,121784	SCO5309	liquid culture
1,6313	3,00E-06	SCO7273	liquid culture
2,8357	0	SCO4034	liquid culture
1,4502	2,00E-06	SCO1795	liquid culture
1,206	0	SCO2220	liquid culture
1,4676	0	SCO1277	liquid culture
2,6729	0	SCO7784	liquid culture
1,9234	1,00E-06	SCO2779	liquid culture
1,1949	1,90E-05	SCO2826	liquid culture
1,6241	1,00E-06	SCO1249	liquid culture
0,4191	0,010733	SCO6351	liquid culture
1,2471	1,00E-06	SCO5107	liquid culture
0,1307	0,560729	SCO4632	liquid culture
1,7192	0	SCO5385	liquid culture
0,0896	0,711536	SCO6570	liquid culture
-0,1007	0,653234	SCO6033	liquid culture
-0,2709	0,194652	SCO7332	liquid culture
2,6081	0	SCO1749	liquid culture
0,5915	0,00079	SCO7338	liquid culture
0,0474	0,84145	SCO0081	liquid culture
2,7038	0	SCO5077	liquid culture
-1,0475	2,00E-06	SCO2589	liquid culture
0,0864	0,704372	SCO1010	liquid culture
-0,7833	0,005246	SCO2867	liquid culture
0,7819	0,000382	SCO1735	liquid culture
-1,172	1,00E-06	SCO3480	liquid culture
2,2274	0	SCO1166	liquid culture
1,9364	2,00E-06	SCO1100	liquid culture
0,373	0,119627	SCO5629	liquid culture
1,346	1,50E-05	SCO4678	liquid culture
0,0022	0,993254	SCO7228	liquid culture
2,3933	0	SCO7043	liquid culture
-1,4078	0	SCO3476	liquid culture
0,7635	0,001155	SCO2921	liquid culture
0,0084	0,971903	SCO7150	liquid culture
1,5109	0,000156	SCO4347	liquid culture
0,2325	0,413157	SCO1192	liquid culture
3,1492	0	SCO1646	liquid culture
0,5088	0,000399	SCO1479	liquid culture
3,4537	0	SCO3662	liquid culture
3,3932	1,00E-06	SCO6744	liquid culture
1,1614	4,00E-06	SCO6155	liquid culture
-1,0438	0	SCO3479	liquid culture
-0,5762	0,000409	SCO7450	liquid culture
1,6468	0	SCO2461	liquid culture
3,6246	0	SCO6949	liquid culture
0,7534	2,50E-05	SCO2365	liquid culture
1,8464	0	SCO3620	liquid culture
3,9212	0	SCO4409	liquid culture
-0,081	0,725887	SCO4538	liquid culture
0,5368	0,004277	SCO1892	liquid culture
-0,0413	0,86541	SCO4055	liquid culture
-2,4109	0	SCO2457	liquid culture
-0,3369	0,071547	SCO6416	liquid culture
2,2067	0	SCO0560	liquid culture
2,415	0	SCO2207	liquid culture
0,4147	0,027086	SCO2290	liquid culture
6,5565	0	SCO5083	liquid culture
0,8515	3,00E-06	SCO2963	liquid culture
0,3732	0,053237	SCO5286	liquid culture
0,5796	0,001324	SCO5801	liquid culture
-0,2114	0,295709	SCO7263	liquid culture
4,9397	0	SCO1023	liquid culture
