"gene","logFC","FDR","add_variable","start","end","width","strand","data_name"
"predicted RNA",-1.74436232230076,6.05e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.33539035469392,6.26e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.53343220008107,1.31e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.6463630453853,1.56e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.47393118833241,3.28e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.62293035092018,4.54e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.70043971814109,5.85e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.77923132114322,6.46e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.41503749927884,8.55e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.8273233382902,8.63e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.82235708539685,9.04e-08,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.13993026114448,1.05e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.26464725680209,1.47e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.06319382648719,1.47e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.02588415938222,1.64e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.06817150264158,2.61e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.77031754273307,4.16e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.87800947562139,7.4e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.34203566833594,7.85e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.28743971850207,8.74e-07,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.68589140957194,1.3e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.02686660585268,1.7e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.55849028935997,2.01e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.98138432183265,2.29e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.40563880127659,3.11e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.94555221597762,3.46e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.19753723265017,4.83e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.18903382439002,6.76e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.5758602936139,6.83e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.32894852256513,7.25e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.33985000288462,9.4e-06,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.30595713797558,1.35e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.95041797114944,1.72e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.56478461878353,1.98e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.91328836680667,2.3e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.22449394398174,2.32e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.29627252604178,2.56e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.86507041991389,3.18e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.917158931062346,3.25e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.88264304936184,3.5e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.19437804516685,3.56e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.1184082988817,3.56e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.85798099512757,3.67e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.22733157683024,3.71e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.84080140515075,4.29e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.16992500144231,7.23e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.74934931862204,7.26e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.788709169260205,7.4e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.16227142889888,8.51e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.66171969970519,9.81e-05,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.772356454055392,0.000108,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.13985766358296,0.00011,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.73206679475337,0.000113,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.98606080904213,0.000115,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.21643824432989,0.00012,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.94341647163363,0.000122,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.61720283772136,0.000125,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.01699307091331,0.000134,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.06177619758669,0.000134,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.22780591752281,0.000139,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.765107615635293,0.000141,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-0.980991885232916,0.000145,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.57730892817772,0.000156,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.21931302840448,0.000161,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.11651400872643,0.000163,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.42380770890658,0.000182,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.44745897697122,0.000197,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.4391116342577,0.000215,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.40087943628218,0.000248,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.45198863545174,0.00026,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.09365910721425,0.000286,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.79141337818858,0.000304,"PS04M145",NA,NA,NA,NA,"szafran2019"
